grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_facts,number_adjacent_row_facts,number_other_constraints,number_other_facts,time
"[[0 0 0 0 0 8 7 0 0]
 [0 0 0 3 0 0 0 0 0]
 [1 0 0 0 0 0 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 0 3 9 0 6 0]
 [0 6 2 0 0 4 1 0 9]
 [7 0 0 0 6 0 8 4 0]]","[['FACT', [2, 0, 1]], ['FACT', [4, 1, 1]], ['FACT', [6, 2, 4]], ['FACT', [7, 2, 2]]]","[['COL', 2], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [8, 2, 1]]",3,4,2,1,0,0,1,0,0,0,2,2,2,0,2,2,1,2,0,2,2,11.11164927482605
"[[0 0 0 0 0 8 7 0 0]
 [0 0 0 3 0 0 0 0 0]
 [1 0 0 0 0 0 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 0 3 9 0 6 0]
 [0 6 2 0 0 4 1 0 9]
 [7 0 1 0 6 0 8 4 0]]","[['FACT', [6, 4, 3]], ['FACT', [6, 5, 9]], ['FACT', [7, 6, 1]], ['FACT', [8, 2, 1]]]","[['ROW', 6], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [6, 3, 1]]",3,4,2,0,1,1,0,0,0,0,2,2,2,0,2,0,1,2,2,2,2,10.289882183074951
"[[0 0 0 0 0 8 7 0 0]
 [0 0 0 3 0 0 0 0 0]
 [1 0 0 0 0 0 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 1 3 9 0 6 0]
 [0 6 2 0 0 4 1 0 9]
 [7 0 1 0 6 0 8 4 0]]","[['FACT', [6, 5, 9]], ['FACT', [7, 8, 9]], ['FACT', [8, 0, 7]], ['FACT', [8, 2, 1]]]","[['ROW', 7], ['ROW', 6], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [8, 1, 9]]",3,4,1,0,2,0,0,1,2,0,0,2,2,0,2,0,1,2,2,2,2,9.335010051727295
"[[0 0 0 0 0 8 7 0 0]
 [0 0 0 3 0 0 0 0 0]
 [1 0 0 0 0 0 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 1 3 9 0 6 0]
 [0 6 2 0 0 4 1 0 9]
 [7 9 1 0 6 0 8 4 0]]","[['FACT', [4, 4, 7]], ['FACT', [6, 3, 1]], ['FACT', [6, 5, 9]], ['FACT', [7, 5, 4]], ['FACT', [8, 0, 7]]]","[['ROW', 8], ['COL', 4], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [7, 3, 7]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,9.113507986068726
"[[0 0 0 0 0 8 7 0 0]
 [0 0 0 3 0 0 0 0 0]
 [1 0 0 0 0 0 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 1 3 9 0 6 0]
 [0 6 2 7 0 4 1 0 9]
 [7 9 1 0 6 0 8 4 0]]","[['FACT', [6, 3, 1]], ['FACT', [6, 4, 3]], ['FACT', [6, 5, 9]], ['FACT', [7, 3, 7]], ['FACT', [7, 5, 4]], ['FACT', [8, 6, 8]]]","[['ROW', 8], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [7, 4, 8]]",2,6,1,0,1,0,0,1,1,0,0,5,1,0,5,1,1,5,2,1,1,7.927550315856934
"[[0 0 0 0 0 8 7 0 0]
 [0 0 0 3 0 0 0 0 0]
 [1 0 0 0 0 0 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 1 3 9 0 6 0]
 [0 6 2 7 8 4 1 0 9]
 [7 9 1 0 6 0 8 4 0]]","[['FACT', [0, 6, 7]], ['FACT', [6, 7, 6]], ['FACT', [7, 3, 7]], ['FACT', [8, 0, 7]]]","[['ROW', 8], ['ROW', 7], ['COL', 6], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [6, 8, 7]]",4,4,1,1,2,0,0,1,2,1,0,1,3,0,1,0,1,1,1,3,3,9.595417976379395
"[[0 0 0 0 0 8 7 0 0]
 [0 0 0 3 0 0 0 0 0]
 [1 0 0 0 0 0 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 1 3 9 0 6 7]
 [0 6 2 7 8 4 1 0 9]
 [7 9 1 0 6 0 8 4 0]]","[['FACT', [6, 4, 3]], ['FACT', [7, 1, 6]], ['FACT', [7, 2, 2]], ['FACT', [8, 0, 7]], ['FACT', [8, 1, 9]], ['FACT', [8, 2, 1]]]","[['ROW', 6], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [7, 0, 3]]",2,6,1,0,1,0,0,1,1,0,0,5,1,0,5,1,1,5,2,1,1,9.023672819137573
"[[0 0 0 0 0 8 7 0 0]
 [0 0 0 3 0 0 0 0 0]
 [1 0 0 0 0 0 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 1 3 9 0 6 7]
 [3 6 2 7 8 4 1 0 9]
 [7 9 1 0 6 0 8 4 0]]","[['FACT', [6, 4, 3]], ['FACT', [7, 0, 3]], ['FACT', [8, 6, 8]], ['FACT', [8, 7, 4]]]","[['ROW', 7], ['ROW', 6], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [8, 8, 3]]",3,4,1,0,2,0,0,1,2,0,0,2,2,0,2,0,1,2,2,2,2,7.626629114151001
"[[0 0 0 0 0 8 7 0 0]
 [0 0 0 3 0 0 0 0 0]
 [1 0 0 0 0 0 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 1 3 9 0 6 7]
 [3 6 2 7 8 4 1 0 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [0, 6, 7]], ['FACT', [1, 3, 3]], ['FACT', [2, 6, 6]], ['FACT', [2, 7, 9]], ['FACT', [8, 8, 3]]]","[['ROW', 1], ['COL', 8], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [0, 7, 3]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,8.350323677062988
"[[0 0 0 0 0 8 7 3 0]
 [0 0 0 3 0 0 0 0 0]
 [1 0 0 0 0 0 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 1 3 9 0 6 7]
 [3 6 2 7 8 4 1 0 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [6, 7, 6]], ['FACT', [6, 8, 7]], ['FACT', [7, 2, 2]], ['FACT', [8, 6, 8]], ['FACT', [8, 7, 4]], ['FACT', [8, 8, 3]]]","[['ROW', 7], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [6, 6, 2]]",2,6,1,0,1,0,0,1,1,0,0,5,1,0,5,1,1,5,2,1,1,7.375579118728638
