grid,hint_facts,hint_constraints,hint_derived,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,time
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 6, 9]], ['FACT', [2, 6, 2]], ['FACT', [5, 8, 8]], ['FACT', [8, 7, 8]]]","[['COL', 6], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [1, 6, 8]]",2,2,0,1,0,0,0,0,2,0,2,2,13.112743377685547
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [1, 5, 9]], ['FACT', [3, 3, 4]], ['FACT', [8, 4, 4]]]","[['COL', 5], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [2, 5, 4]]",2,2,0,1,0,0,0,0,2,0,2,2,11.501265525817871
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [1, 5, 9]], ['FACT', [4, 3, 9]], ['FACT', [6, 4, 8]], ['FACT', [8, 4, 4]]]","[['COL', 4], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [7, 4, 9]]",2,2,0,1,0,0,0,0,2,0,2,2,10.3084077835083
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 8, 6]], ['FACT', [1, 4, 7]], ['FACT', [3, 4, 3]], ['FACT', [5, 4, 5]], ['FACT', [6, 4, 8]], ['FACT', [7, 4, 9]], ['FACT', [8, 4, 4]]]","[['ROW', 0], ['COL', 4]]","['DERIVED', [0, 4, 1]]",8,0,0,1,1,0,0,0,0,2,6,1,10.315046310424805
"[[0 0 2 0 1 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [1, 4, 7]], ['FACT', [2, 6, 2]], ['FACT', [3, 4, 3]], ['FACT', [5, 4, 5]], ['FACT', [6, 4, 8]], ['FACT', [7, 4, 9]], ['FACT', [8, 4, 4]]]","[['ROW', 2], ['COL', 4]]","['DERIVED', [2, 4, 6]]",8,0,0,1,1,0,0,0,0,1,7,2,10.039072275161743
"[[0 0 2 0 1 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [1, 4, 7]], ['FACT', [2, 4, 6]], ['FACT', [3, 4, 3]], ['FACT', [5, 4, 5]], ['FACT', [6, 4, 8]], ['FACT', [7, 4, 9]], ['FACT', [8, 4, 4]]]","[['COL', 4]]","['DERIVED', [4, 4, 2]]",8,0,0,1,0,0,0,0,0,0,8,2,8.999096632003784
"[[0 0 2 0 1 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 4, 1]], ['FACT', [0, 5, 3]], ['FACT', [1, 4, 7]], ['FACT', [2, 4, 6]], ['FACT', [2, 5, 4]], ['FACT', [2, 6, 2]], ['FACT', [4, 3, 9]]]","[['ROW', 1], ['COL', 4], ['COL', 5], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [1, 3, 2]]",6,2,0,0,1,0,2,0,4,1,1,5,10.372901201248169
"[[0 0 2 0 1 3 9 0 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 0 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [0, 5, 3]], ['FACT', [1, 3, 2]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 1, 8]], ['FACT', [2, 4, 6]], ['FACT', [3, 3, 4]]]","[['ROW', 2], ['COL', 4], ['COL', 3], ['COL', 5], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [2, 3, 5]]",8,0,0,1,1,0,2,0,2,2,2,6,8.303488731384277
"[[0 0 2 0 1 3 9 0 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [1, 3, 2]], ['FACT', [1, 5, 9]], ['FACT', [2, 3, 5]], ['FACT', [2, 5, 4]], ['FACT', [6, 4, 8]]]","[['COL', 3], ['COL', 5], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [0, 3, 8]]",5,1,0,1,0,0,1,0,2,1,2,5,8.27739691734314
"[[0 0 2 8 1 3 9 0 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [1, 5, 9]], ['FACT', [2, 5, 4]], ['FACT', [5, 4, 5]], ['FACT', [6, 1, 5]], ['FACT', [7, 6, 5]]]","[['ROW', 8], ['COL', 4], ['COL', 3], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [8, 5, 5]]",3,3,0,0,1,0,2,0,3,0,3,0,10.742554187774658
