,adjacent_negative_facts,adjacent_facts_from_clue,adjacent_facts_from_bijectivity,adjacent_facts_from_transitivity,other_negative_facts,other_positive_facts,adjacent_clue,adjacent_bijectivity,adjacent_transitivity,other_clue,other_transitivity,other_bijectivity,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,-0.02,-0.03773584905660377,-0.041666666666666664,-0.024193548387096774,0.0,0.0,-1.0,-1.0,-0.8333333333333334,-0.25,-1.0,-1.0,Difference
2,0.99,0.9811320754716981,0.9791666666666666,0.9879032258064516,1.0,1.0,0.5,0.5,0.5833333333333333,0.875,0.5,0.5,Final
3,0.99,0.9811320754716981,0.9791666666666666,0.9879032258064516,1.0,1.0,0.5,0.5,0.5833333333333333,0.875,0.5,0.5,Starting
4,0.0,-0.018867924528301886,0.0,-0.008064516129032258,0.0,0.0,0.8,1.0,1.0,0.375,1.0,0.9,Difference
5,0.99,0.9716981132075472,0.9791666666666666,0.9838709677419355,1.0,1.0,0.9,1.0,1.0833333333333333,1.0625,1.0,0.95,Final
6,0.99,0.9716981132075472,0.9791666666666666,0.9838709677419355,1.0,1.0,0.9,1.0,1.0833333333333333,1.0625,1.0,0.95,Starting
7,0.0,-0.018867924528301886,0.0,0.008064516129032258,0.0,0.0,-0.2,0.0,0.16666666666666666,0.0,0.0,-0.1,Difference
8,0.99,0.9622641509433962,0.9791666666666666,0.9879032258064516,1.0,1.0,0.8,1.0,1.1666666666666665,1.0625,1.0,0.8999999999999999,Final
9,0.99,0.9622641509433962,0.9791666666666666,0.9879032258064516,1.0,1.0,0.8,1.0,1.1666666666666665,1.0625,1.0,0.8999999999999999,Starting
10,0.0,0.018867924528301886,0.0,0.008064516129032258,0.0,0.0,0.2,0.0,-0.16666666666666666,-0.125,0.0,0.1,Difference
11,0.99,0.9716981132075472,0.9791666666666666,0.9919354838709677,1.0,1.0,0.9,1.0,1.0833333333333333,1.0,1.0,0.95,Final
12,0.99,0.9716981132075472,0.9791666666666666,0.9919354838709677,1.0,1.0,0.9,1.0,1.0833333333333333,1.0,1.0,0.95,Starting
13,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,0.1,Difference
14,0.99,0.9716981132075472,0.9791666666666666,1.0,1.0,1.0,0.9,1.0,1.0833333333333333,0.9375,1.0,1.0,Final
15,0.99,0.9716981132075472,0.9791666666666666,1.0,1.0,1.0,0.9,1.0,1.0833333333333333,0.9375,1.0,1.0,Starting
16,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
17,0.99,0.9716981132075472,0.9791666666666666,1.0040322580645162,1.0,1.0,0.9,1.0,1.0833333333333333,0.9375,1.0,1.0,Final
18,0.99,0.9716981132075472,0.9791666666666666,1.0040322580645162,1.0,1.0,0.9,1.0,1.0833333333333333,0.9375,1.0,1.0,Starting
19,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,0.1,Difference
20,0.99,0.9716981132075472,0.9791666666666666,1.0120967741935485,1.0,1.0,0.9,1.0,1.0833333333333333,0.875,1.0,1.05,Final
21,0.99,0.9716981132075472,0.9791666666666666,1.0120967741935485,1.0,1.0,0.9,1.0,1.0833333333333333,0.875,1.0,1.05,Starting
22,0.0,0.0,0.0,-0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
23,0.99,0.9716981132075472,0.9791666666666666,1.0080645161290323,1.0,1.0,0.9,1.0,1.0833333333333333,0.875,1.0,1.05,Final
24,0.99,0.9716981132075472,0.9791666666666666,1.0080645161290323,1.0,1.0,0.9,1.0,1.0833333333333333,0.875,1.0,1.05,Starting
25,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
26,0.99,0.9716981132075472,0.9791666666666666,1.0120967741935485,1.0,1.0,0.9,1.0,1.0833333333333333,0.875,1.0,1.05,Final
27,0.99,0.9716981132075472,0.9791666666666666,1.0120967741935485,1.0,1.0,0.9,1.0,1.0833333333333333,0.875,1.0,1.05,Starting
28,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
29,0.99,0.9716981132075472,0.9791666666666666,1.0161290322580647,1.0,1.0,0.9,1.0,1.0833333333333333,0.875,1.0,1.05,Final
30,0.99,0.9716981132075472,0.9791666666666666,1.0161290322580647,1.0,1.0,0.9,1.0,1.0833333333333333,0.875,1.0,1.05,Starting
31,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
