,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-1.01,"[2, 1, 2, 3, 0, 0, 2, 0, 6, 6, 6, 10]",-842.6,10,0
1,2,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-1.01,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-1.1,10,Draw
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-1.01,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]",-10.02,10,0
3,4,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-1.01,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 0, 0]",-8.1,10,0
4,5,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-1.01,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]",-10.02,10,0
5,6,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1]",-2.11,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 0, 0]",-8.1,10,Miss
6,7,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-1.1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 8, 0, 1]",-8.11,10,0
7,8,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0]",-202.1,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-1.11,10,1
8,9,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-1.11,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-101.01,10,0
9,10,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-1.11,"[0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 0, 1]",-8.7,10,Miss
10,11,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,"[0, 0, 0, 0, 0, 0, 0, 1, 6, 8, 0, 0]",-8.61,10,0
11,12,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-1.11,10,Draw
12,13,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",-10.2,10,0
