,predicted,ground_truth,difference_df_relative,difference_df_abs
0,0.21000000000000002,0.21000000000000002,0.0,0.0
1,0.31,0.31,0.0,0.0
2,0.53,0.52,0.019230769230769246,0.010000000000000009
3,0.6200000000000001,0.6200000000000001,0.0,0.0
4,0.6200000000000001,0.6200000000000001,0.0,0.0
5,0.6200000000000001,0.6200000000000001,0.0,0.0
6,1.01,1.01,0.0,0.0
7,1.11,1.11,0.0,0.0
8,1.11,1.11,0.0,0.0
9,1.11,1.11,0.0,0.0
10,1.11,1.11,0.0,0.0
11,1.11,1.11,0.0,0.0
12,1.11,1.11,0.0,0.0
13,1.11,1.11,0.0,0.0
14,1.11,1.11,0.0,0.0
15,1.11,1.11,0.0,0.0
16,1.12,1.12,0.0,0.0
17,1.12,1.12,0.0,0.0
18,1.2000000000000002,1.2000000000000002,0.0,0.0
19,1.21,1.21,0.0,0.0
20,1.2100000000000002,1.2100000000000002,0.0,0.0
21,1.21,1.21,0.0,0.0
22,1.21,1.21,0.0,0.0
23,1.21,1.21,0.0,0.0
24,1.21,1.21,0.0,0.0
25,1.21,1.21,0.0,0.0
26,1.12,1.12,0.0,0.0
27,1.21,1.21,0.0,0.0
28,1.21,1.21,0.0,0.0
29,1.2200000000000002,1.2200000000000002,0.0,0.0
30,1.3,1.3,0.0,0.0
31,1.31,1.31,0.0,0.0
32,1.31,1.31,0.0,0.0
33,1.31,1.31,0.0,0.0
34,101.11,1.05,95.29523809523809,100.06
35,101.21000000000001,1.1500000000000001,87.0086956521739,100.06
36,101.21000000000001,1.1500000000000001,87.0086956521739,100.06
37,101.21000000000001,1.1500000000000001,87.0086956521739,100.06
38,101.21000000000001,1.1500000000000001,87.0086956521739,100.06
39,101.21000000000001,1.1500000000000001,87.0086956521739,100.06
40,101.21000000000001,1.1500000000000001,87.0086956521739,100.06
41,1.32,1.32,0.0,0.0
42,1.32,1.32,0.0,0.0
43,1.32,1.32,0.0,0.0
44,1.32,1.32,0.0,0.0
45,1.34,1.34,0.0,0.0
46,1.4200000000000002,1.4200000000000002,0.0,0.0
47,1.4200000000000002,1.4200000000000002,0.0,0.0
48,1.4200000000000002,1.4200000000000002,0.0,0.0
49,1.4200000000000002,1.4200000000000002,0.0,0.0
50,2.11,2.11,0.0,0.0
51,2.21,2.12,0.04245283018867917,0.08999999999999986
52,2.21,2.12,0.04245283018867917,0.08999999999999986
53,102.21000000000001,2.13,46.98591549295775,100.08000000000001
54,2.21,2.16,0.023148148148148064,0.04999999999999982
55,2.21,2.21,0.0,0.0
56,2.21,2.21,0.0,0.0
57,2.21,2.21,0.0,0.0
58,2.21,2.21,0.0,0.0
59,2.21,2.21,0.0,0.0
60,11.11,2.22,4.004504504504504,8.889999999999999
61,2.22,2.22,0.0,0.0
62,2.22,2.22,0.0,0.0
63,110.21000000000001,2.23,48.42152466367713,107.98
64,110.21000000000001,2.23,48.42152466367713,107.98
65,2.31,2.23,0.03587443946188344,0.08000000000000007
66,110.21000000000001,2.23,48.42152466367713,107.98
67,110.21000000000001,2.24,48.20089285714286,107.97000000000001
68,110.21000000000001,2.24,48.20089285714286,107.97000000000001
69,110.21000000000001,2.24,48.20089285714286,107.97000000000001
70,11.2,2.3000000000000003,3.8695652173913033,8.899999999999999
71,2.33,2.3099999999999996,0.00865800865800886,0.020000000000000462
72,110.21000000000001,2.3099999999999996,46.70995670995672,107.9
73,110.21000000000001,2.3099999999999996,46.70995670995672,107.9
74,2.5300000000000002,2.3099999999999996,0.09523809523809552,0.22000000000000064
75,11.11,2.14,4.191588785046728,8.969999999999999
76,110.21000000000001,2.3099999999999996,46.70995670995672,107.9
77,11.219999999999999,2.3200000000000003,3.836206896551723,8.899999999999999
78,2.43,2.43,0.0,0.0
79,10.409999999999998,2.4400000000000004,3.2663934426229493,7.969999999999998
80,2.5300000000000002,2.5200000000000005,0.003968253968253883,0.009999999999999787
81,11.11,3.14,2.5382165605095537,7.969999999999999
82,11.11,3.14,2.5382165605095537,7.969999999999999
83,11.11,3.15,2.526984126984127,7.959999999999999
84,20.110000000000003,3.15,5.384126984126985,16.960000000000004
85,11.11,3.16,2.5158227848101262,7.949999999999999
86,11.11,3.16,2.5158227848101262,7.949999999999999
87,110.21000000000001,3.25,32.91076923076923,106.96000000000001
88,110.21000000000001,3.25,32.91076923076923,106.96000000000001
89,110.21000000000001,3.25,32.91076923076923,106.96000000000001
90,20.110000000000003,3.42,4.880116959064329,16.690000000000005
91,3.43,3.42,0.002923976608187202,0.010000000000000231
92,111.21000000000001,3.42,31.517543859649127,107.79
93,20.01,4.159999999999999,3.810096153846155,15.850000000000001
94,110.21000000000001,4.26,24.870892018779344,105.95
95,110.21000000000001,4.26,24.870892018779344,105.95
96,110.21000000000001,4.26,24.870892018779344,105.95
97,5.51,4.29,0.2843822843822843,1.2199999999999998
98,5.51,4.29,0.2843822843822843,1.2199999999999998
99,113.33,4.3,25.355813953488372,109.03
100,113.33,4.3,25.355813953488372,109.03
101,105.51,4.3100000000000005,23.48027842227378,101.2
102,13.52,4.3100000000000005,2.1368909512761016,9.209999999999999
103,105.51,4.32,23.42361111111111,101.19
104,112.44000000000001,4.46,24.21076233183857,107.98000000000002
105,20.110000000000003,5.2700000000000005,2.815939278937382,14.840000000000003
106,20.110000000000003,5.2700000000000005,2.815939278937382,14.840000000000003
107,20.01,5.29,2.7826086956521743,14.720000000000002
108,11.219999999999999,5.4399999999999995,1.0625,5.779999999999999
109,20.01,5.45,2.671559633027523,14.560000000000002
110,110.21000000000001,6.26,16.605431309904155,103.95
111,110.21000000000001,6.26,16.605431309904155,103.95
112,110.21000000000001,6.34,16.383280757097793,103.87
113,110.21000000000001,6.34,16.383280757097793,103.87
114,20.110000000000003,12.169999999999998,0.652423993426459,7.940000000000005
115,13.42,13.339999999999998,0.005997001499250514,0.08000000000000185
116,20.110000000000003,12.219999999999999,0.6456628477905078,7.890000000000004
117,22.310000000000002,13.349999999999998,0.6711610486891391,8.960000000000004
118,11.309999999999999,11.309999999999999,0.0,0.0
119,22.410000000000004,13.349999999999998,0.6786516853932589,9.060000000000006
120,20.110000000000003,12.209999999999999,0.6470106470106474,7.900000000000004
121,13.42,13.329999999999998,0.006751687921980619,0.09000000000000163
122,11.12,11.12,0.0,0.0
123,110.21000000000001,11.12,8.910971223021583,99.09
124,110.21000000000001,11.12,8.910971223021583,99.09
125,20.110000000000003,11.149999999999999,0.8035874439461889,8.960000000000004
126,13.42,13.36,0.004491017964071893,0.0600000000000005
127,110.21000000000001,13.36,7.249251497005989,96.85000000000001
128,110.21000000000001,13.36,7.249251497005989,96.85000000000001
129,220.11,13.44,15.377232142857144,206.67000000000002
130,20.110000000000003,13.48,0.49183976261127615,6.630000000000003
131,13.52,13.52,0.0,0.0
132,20.01,11.02,0.8157894736842107,8.990000000000002
133,13.34,13.34,0.0,0.0
134,20.110000000000003,13.39,0.5018670649738612,6.720000000000002
135,20.01,13.39,0.49439880507841677,6.620000000000001
136,110.21000000000001,13.39,7.230769230769231,96.82000000000001
137,14.319999999999999,14.319999999999999,0.0,0.0
138,20.01,12.219999999999999,0.6374795417348612,7.790000000000003
139,110.21000000000001,11.209999999999999,8.831400535236398,99.00000000000001
140,22.21,13.239999999999998,0.6774924471299096,8.970000000000002
141,20.01,12.12,0.6509900990099012,7.890000000000002
142,110.21000000000001,11.209999999999999,8.831400535236398,99.00000000000001
143,20.01,15.34,0.304432855280313,4.670000000000002
144,20.01,20.01,0.0,0.0
145,20.01,20.01,0.0,0.0
146,20.01,20.01,0.0,0.0
