,predicted,ground_truth,difference_df_relative,difference_df_abs
0,1.01,1.01,0.0,0.0
1,1.01,1.01,0.0,0.0
2,1.01,1.01,0.0,0.0
3,1.01,1.01,0.0,0.0
4,1.01,1.01,0.0,0.0
5,1.01,1.01,0.0,0.0
6,1.01,1.01,0.0,0.0
7,1.01,1.01,0.0,0.0
8,1.01,1.01,0.0,0.0
9,1.1,1.1,0.0,0.0
10,1.11,1.11,0.0,0.0
11,1.11,1.11,0.0,0.0
12,1.11,1.11,0.0,0.0
13,1.11,1.11,0.0,0.0
14,1.2000000000000002,1.2000000000000002,0.0,0.0
15,1.2000000000000002,1.2000000000000002,0.0,0.0
16,1.2000000000000002,1.2000000000000002,0.0,0.0
17,1.2000000000000002,1.2000000000000002,0.0,0.0
18,1.2000000000000002,1.2000000000000002,0.0,0.0
19,2.21,1.3,0.7,0.9099999999999999
20,2.11,2.11,0.0,0.0
21,2.11,2.11,0.0,0.0
22,2.11,2.11,0.0,0.0
23,2.11,2.11,0.0,0.0
24,2.11,2.11,0.0,0.0
25,2.11,2.11,0.0,0.0
26,2.11,2.11,0.0,0.0
27,2.11,2.11,0.0,0.0
28,2.11,2.11,0.0,0.0
29,2.11,2.11,0.0,0.0
30,2.11,2.11,0.0,0.0
31,2.12,2.12,0.0,0.0
32,2.12,2.12,0.0,0.0
33,2.12,2.12,0.0,0.0
34,2.12,2.12,0.0,0.0
35,2.3000000000000003,2.2,0.04545454545454549,0.10000000000000009
36,2.2,2.2,0.0,0.0
37,11.11,2.1100000000000003,4.265402843601895,9.0
38,10.11,2.1100000000000003,3.7914691943127954,7.999999999999999
39,2.21,2.21,0.0,0.0
40,2.21,2.21,0.0,0.0
41,2.21,2.21,0.0,0.0
42,2.21,2.21,0.0,0.0
43,2.21,2.21,0.0,0.0
44,2.21,2.21,0.0,0.0
45,2.21,2.21,0.0,0.0
46,2.21,2.21,0.0,0.0
47,2.21,2.21,0.0,0.0
48,2.21,2.21,0.0,0.0
49,2.21,2.21,0.0,0.0
50,2.3000000000000003,2.3000000000000003,0.0,0.0
51,2.3000000000000003,2.3000000000000003,0.0,0.0
52,3.21,2.3000000000000003,0.3956521739130433,0.9099999999999997
53,2.3099999999999996,2.3099999999999996,0.0,0.0
54,2.3099999999999996,2.3099999999999996,0.0,0.0
55,2.3099999999999996,2.3099999999999996,0.0,0.0
56,3.3000000000000003,3.1,0.06451612903225812,0.20000000000000018
57,11.02,3.11,2.5434083601286175,7.91
58,3.2,3.11,0.028938906752411675,0.0900000000000003
59,3.3000000000000003,3.11,0.06109324758842456,0.1900000000000004
60,12.11,3.11,2.8938906752411575,9.0
61,3.3000000000000003,3.11,0.06109324758842456,0.1900000000000004
62,12.2,3.2100000000000004,2.8006230529595006,8.989999999999998
63,3.3000000000000003,3.3000000000000003,0.0,0.0
64,3.31,3.1,0.06774193548387096,0.20999999999999996
65,3.4000000000000004,3.4000000000000004,0.0,0.0
66,4.3100000000000005,3.1,0.3903225806451614,1.2100000000000004
67,5.31,3.11,0.7073954983922829,2.1999999999999997
68,11.11,4.199999999999999,1.6452380952380956,6.91
69,14.209999999999999,4.199999999999999,2.3833333333333337,10.01
70,13.11,4.199999999999999,2.121428571428572,8.91
71,4.199999999999999,4.199999999999999,0.0,0.0
72,12.209999999999999,4.199999999999999,1.9071428571428575,8.01
73,11.11,4.209999999999999,1.6389548693586702,6.9
74,22.22,4.3,4.167441860465116,17.919999999999998
75,4.3,4.3,0.0,0.0
76,4.3999999999999995,2.1,1.095238095238095,2.2999999999999994
77,2.1100000000000003,2.1100000000000003,0.0,0.0
78,10.01,2.1100000000000003,3.7440758293838856,7.8999999999999995
79,4.3100000000000005,2.11,1.0426540284360193,2.2000000000000006
80,6.3100000000000005,2.11,1.9905213270142186,4.200000000000001
81,6.3100000000000005,2.11,1.9905213270142186,4.200000000000001
82,4.3100000000000005,2.11,1.0426540284360193,2.2000000000000006
83,4.3100000000000005,2.11,1.0426540284360193,2.2000000000000006
84,101.01,2.11,46.87203791469195,98.9
85,14.209999999999999,3.1100000000000003,3.5691318327974266,11.099999999999998
86,11.11,2.1,4.29047619047619,9.01
87,11.209999999999999,2.11,4.312796208530806,9.1
88,5.31,4.3999999999999995,0.20681818181818187,0.9100000000000001
89,5.31,4.4,0.20681818181818162,0.9099999999999993
90,6.42,5.31,0.20903954802259894,1.1100000000000003
91,6.32,3.1,1.038709677419355,3.22
92,6.42,3.1,1.0709677419354837,3.32
93,6.42,5.31,0.20903954802259894,1.1100000000000003
94,6.32,3.1,1.038709677419355,3.22
95,6.42,3.1,1.0709677419354837,3.32
96,5.32,5.32,0.0,0.0
97,5.32,5.32,0.0,0.0
98,5.409999999999999,5.409999999999999,0.0,0.0
99,4.209999999999999,4.199999999999999,0.0023809523809523304,0.009999999999999787
100,6.32,5.409999999999999,0.16820702402957508,0.910000000000001
101,6.32,5.409999999999999,0.16820702402957508,0.910000000000001
102,6.510000000000001,5.41,0.2033271719038818,1.1000000000000005
103,2.1,2.1,0.0,0.0
104,2.1,2.1,0.0,0.0
105,2.1,2.1,0.0,0.0
106,12.219999999999999,2.11,4.791469194312796,10.11
107,2.11,2.11,0.0,0.0
108,12.219999999999999,2.11,4.791469194312796,10.11
109,2.11,2.11,0.0,0.0
110,101.01,2.11,46.87203791469195,98.9
111,101.01,2.11,46.87203791469195,98.9
112,6.119999999999999,5.22,0.17241379310344818,0.8999999999999995
113,6.119999999999999,5.22,0.17241379310344818,0.8999999999999995
114,10.420000000000002,5.3999999999999995,0.9296296296296301,5.020000000000002
115,4.199999999999999,4.199999999999999,0.0,0.0
116,5.31,5.31,0.0,0.0
117,3.2100000000000004,3.1,0.03548387096774204,0.11000000000000032
118,3.1,3.1,0.0,0.0
119,3.2,3.1,0.03225806451612906,0.10000000000000009
120,11.1,2.1,4.285714285714286,9.0
121,11.11,2.11,4.265402843601896,9.0
122,11.11,2.11,4.265402843601896,9.0
123,4.3,3.1,0.38709677419354827,1.1999999999999997
124,4.32,4.32,0.0,0.0
125,4.32,4.32,0.0,0.0
126,4.41,4.41,0.0,0.0
127,3.1,3.1,0.0,0.0
128,7.41,5.219999999999999,0.4195402298850578,2.1900000000000013
129,2.1,2.1,0.0,0.0
130,6.3999999999999995,5.3,0.20754716981132068,1.0999999999999996
131,3.11,3.11,0.0,0.0
132,7.409999999999999,5.3,0.3981132075471697,2.1099999999999994
133,3.1,3.1,0.0,0.0
134,3.2100000000000004,3.2,0.003125000000000072,0.010000000000000231
135,11.2,2.1,4.333333333333333,9.1
136,5.22,5.12,0.01953124999999993,0.09999999999999964
137,2.1,2.1,0.0,0.0
138,2.2,2.1,0.04761904761904766,0.10000000000000009
139,2.2100000000000004,2.11,0.047393364928910206,0.10000000000000053
140,2.2100000000000004,2.11,0.047393364928910206,0.10000000000000053
141,7.31,6.199999999999999,0.1790322580645162,1.1100000000000003
142,2.1,2.1,0.0,0.0
143,3.2100000000000004,2.1,0.5285714285714287,1.1100000000000003
144,4.32,4.319999999999999,2.0559685641206605e-16,8.881784197001252e-16
145,2.1,2.1,0.0,0.0
146,2.1,2.1,0.0,0.0
