,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-111.01,"[2, 1, 2, 3, 0, 0, 2, 0, 6, 6, 6, 10]",-842.6,1,0
1,2,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-101.01,"[3, 0, 3, 4, 0, 0, 0, 0, 6, 8, 6, 10]",-916.6,1,0
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-1.1,"[2, 3, 1, 3, 0, 0, 0, 2, 0, 1, 0, 0]",-136.02,1,0
3,4,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",-10.01,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",-21.200000000000003,1,0
4,5,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-101.01,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1]",-103.19999999999999,1,0
5,6,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-1.01,"[0, 1, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0]",-111.02,1,Miss
6,7,0,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",-22.0,"[0, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 1]",-21.12,1,Draw
7,8,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-111.01,"[1, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0]",-3.02,1,1
8,9,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-111.01,"[1, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0]",-3.02,1,1
9,10,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-1.01,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-2.2,1,0
10,11,0,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",-13.01,"[1, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0]",-22.02,1,0
11,12,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-111.01,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-22.01,1,Miss
12,13,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-101.01,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",-11.11,1,1
13,14,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-111.01,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-111.3,1,Draw
14,15,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",-11.11,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-101.01,1,0
15,16,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-1.1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-1.01,1,Draw
16,17,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-1.01,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-2.2,1,0
17,18,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-111.01,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-111.3,1,Draw
18,19,0,"[0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 2]",-40.220000000000006,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1]",-21.110000000000003,1,1
19,20,0,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 1]",-11.12,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 3, 0, 1]",-13.11,1,0
20,21,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-1.01,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2]",-1.3,1,Draw
21,22,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-1.01,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]",-10.02,1,0
22,23,0,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-22.01,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1]",-21.110000000000003,1,Draw
23,24,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-1.11,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]",-101.19999999999999,1,0
24,25,0,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-21.1,"[0, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0]",-21.22,1,Draw
25,26,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-101.01,"[0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0]",-2.2199999999999998,1,1
26,27,0,"[0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0]",-2.2199999999999998,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 7, 0, 0]",-108.01,1,0
27,28,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-111.01,"[0, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0]",-21.22,1,1
28,29,0,"[0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0]",-2.2199999999999998,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",-2.11,1,Draw
29,30,0,"[0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 0, 1]",-11.309999999999999,"[0, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0]",-21.22,1,0
30,31,0,"[0, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0]",-21.22,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 7, 0, 0]",-118.01,1,0
31,32,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",-10.11,"[0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0]",-2.2199999999999998,1,1
32,33,0,"[0, 0, 0, 1, 0, 0, 1, 1, 4, 1, 0, 0]",-12.41,"[1, 0, 0, 1, 0, 0, 1, 2, 2, 6, 0, 0]",-18.22,1,0
33,34,0,"[0, 0, 0, 1, 0, 0, 1, 1, 4, 1, 0, 0]",-12.41,"[0, 1, 0, 1, 0, 0, 1, 1, 2, 0, 0, 0]",-21.21,1,0
34,35,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-1.11,"[0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 0, 1]",-8.7,1,0
35,36,0,"[0, 0, 0, 0, 0, 0, 0, 1, 4, 2, 1, 0]",-102.41,"[0, 0, 0, 0, 2, 0, 0, 2, 2, 2, 0, 0]",-4.220000000000001,1,1
36,37,0,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]",-2.21,"[0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0]",-2.2199999999999998,1,Draw
37,38,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-1.11,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,1,Draw
38,39,0,"[0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1]",-20.110000000000003,"[0, 0, 0, 1, 0, 0, 1, 2, 4, 1, 0, 0]",-12.42,1,1
39,40,0,"[0, 0, 0, 0, 3, 0, 0, 2, 2, 2, 0, 0]",-5.220000000000001,"[0, 0, 0, 0, 4, 0, 0, 1, 1, 8, 0, 0]",-12.11,1,0
40,41,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-1.11,"[0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 1]",-1.7000000000000002,1,0
41,42,0,"[0, 0, 0, 1, 0, 0, 1, 1, 4, 1, 0, 0]",-12.41,"[1, 0, 0, 1, 0, 0, 1, 2, 2, 1, 0, 0]",-13.219999999999999,1,0
42,43,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-1.11,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,1,Draw
43,44,0,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",-12.1,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1]",-20.200000000000003,1,0
44,45,0,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",-3.11,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]",-12.11,1,0
45,46,0,"[1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0]",-12.2,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 6, 0, 0]",-18.11,1,0
46,47,0,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-2.1,"[0, 0, 0, 0, 4, 0, 0, 0, 6, 1, 0, 0]",-5.6,1,0
47,48,0,"[0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0]",-2.11,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-3.1,1,0
48,49,0,"[0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0]",-2.11,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-3.1,1,Draw
49,50,0,"[0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0]",-2.11,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-3.1,1,0
