,adjacent_negative_facts,adjacent_facts_from_clue,adjacent_facts_from_bijectivity,adjacent_facts_from_transitivity,other_negative_facts,other_positive_facts,adjacent_clue,adjacent_bijectivity,adjacent_transitivity,other_clue,other_transitivity,other_bijectivity,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,0.0,0.5,0.6666666666666666,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,Difference
2,2.0,1.0,1.5,1.6666666666666665,1.0,1.0,2.0,0.001,2.0,2.0,2.0,2.0,Final
3,2.0,1.0,1.5,1.6666666666666665,1.0,1.0,2.0,0.001,2.0,2.0,2.0,2.0,Starting
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Difference
5,2.0,1.0,1.5,1.6666666666666665,1.0,1.0,2.0,0.501,2.0,2.0,2.0,2.0,Final
6,2.0,1.0,1.5,1.6666666666666665,1.0,1.0,2.0,0.501,2.0,2.0,2.0,2.0,Starting
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Difference
8,2.0,1.0,1.5,1.6666666666666665,1.0,1.0,2.0,1.501,2.0,2.0,2.0,2.0,Final
9,2.0,1.0,1.5,1.6666666666666665,1.0,1.0,2.0,1.501,2.0,2.0,2.0,2.0,Starting
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Difference
11,2.0,1.0,1.5,1.6666666666666665,1.0,1.0,2.0,2.001,2.0,2.0,2.0,2.0,Final
12,2.0,1.0,1.5,1.6666666666666665,1.0,1.0,2.0,2.001,2.0,2.0,2.0,2.0,Starting
13,,,,,,,,,,,,,Difference
14,2.0,1.0,1.5,1.6666666666666665,1.0,1.0,2.0,2.001,2.0,2.0,2.0,2.0,Final
15,2.0,1.0,1.5,1.6666666666666665,1.0,1.0,2.0,2.001,2.0,2.0,2.0,2.0,Starting
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
17,2.0,1.0,1.5,1.6666666666666665,2.0,1.0,2.0,2.001,2.0,2.0,2.0,2.0,Final
18,2.0,1.0,1.5,1.6666666666666665,2.0,1.0,2.0,2.001,2.0,2.0,2.0,2.0,Starting
19,,,,,,,,,,,,,Difference
20,2.0,1.0,1.5,1.6666666666666665,2.0,1.0,2.0,2.001,2.0,2.0,2.0,2.0,Final
21,2.0,1.0,1.5,1.6666666666666665,2.0,1.0,2.0,2.001,2.0,2.0,2.0,2.0,Starting
22,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,Difference
23,1.0,2.0,2.5,1.6666666666666665,2.0,1.0,2.0,2.001,2.0,1.0,2.0,2.0,Final
24,1.0,2.0,2.5,1.6666666666666665,2.0,1.0,2.0,2.001,2.0,1.0,2.0,2.0,Starting
25,,,,,,,,,,,,,Difference
26,1.0,2.0,2.5,1.6666666666666665,2.0,1.0,2.0,2.001,2.0,1.0,2.0,2.0,Final
27,1.0,2.0,2.5,1.6666666666666665,2.0,1.0,2.0,2.001,2.0,1.0,2.0,2.0,Starting
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,Difference
29,1.0,2.0,2.5,1.6666666666666665,2.0,1.0,2.0,2.001,2.0,1.5,2.0,2.0,Final
30,1.0,2.0,2.5,1.6666666666666665,2.0,1.0,2.0,2.001,2.0,1.5,2.0,2.0,Starting
31,,,,,,,,,,,,,Difference
32,1.0,2.0,2.5,1.6666666666666665,2.0,1.0,2.0,2.001,2.0,1.5,2.0,2.0,Final
33,1.0,2.0,2.5,1.6666666666666665,2.0,1.0,2.0,2.001,2.0,1.5,2.0,2.0,Starting
34,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Difference
35,0.001,2.0,3.5,1.6666666666666665,2.0,1.0,1.0,2.001,2.0,1.5,2.0,2.0,Final
36,0.001,2.0,3.5,1.6666666666666665,2.0,1.0,1.0,2.001,2.0,1.5,2.0,2.0,Starting
37,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,Difference
38,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,1.0,2.001,2.0,0.5,2.0,1.0,Final
39,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,1.0,2.001,2.0,0.5,2.0,1.0,Starting
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Difference
41,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,1.0,2.001,2.0,1.5,2.0,1.0,Final
42,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,1.0,2.001,2.0,1.5,2.0,1.0,Starting
43,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,1.0,0.0,0.0,Difference
44,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,2.001,2.0,2.5,2.0,1.0,Final
45,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,2.001,2.0,2.5,2.0,1.0,Starting
46,,,,,,,,,,,,,Difference
47,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,2.001,2.0,2.5,2.0,1.0,Final
48,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,2.001,2.0,2.5,2.0,1.0,Starting
49,,,,,,,,,,,,,Difference
50,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,2.001,2.0,2.5,2.0,1.0,Final
51,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,2.001,2.0,2.5,2.0,1.0,Starting
52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Difference
53,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,1.5,2.001,2.0,2.5,2.0,1.0,Final
54,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,1.5,2.001,2.0,2.5,2.0,1.0,Starting
55,,,,,,,,,,,,,Difference
56,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,1.5,2.001,2.0,2.5,2.0,1.0,Final
57,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,1.5,2.001,2.0,2.5,2.0,1.0,Starting
58,,,,,,,,,,,,,Difference
59,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,1.5,2.001,2.0,2.5,2.0,1.0,Final
60,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,1.5,2.001,2.0,2.5,2.0,1.0,Starting
61,,,,,,,,,,,,,Difference
62,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,1.5,2.001,2.0,2.5,2.0,1.0,Final
63,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,1.5,2.001,2.0,2.5,2.0,1.0,Starting
64,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,Difference
65,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,2.001,2.0,3.5,2.0,1.0,Final
66,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,2.001,2.0,3.5,2.0,1.0,Starting
67,,,,,,,,,,,,,Difference
68,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,2.001,2.0,3.5,2.0,1.0,Final
69,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,2.001,2.0,3.5,2.0,1.0,Starting
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,Difference
71,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,3.001,2.0,3.5,2.0,0.001,Final
72,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,3.001,2.0,3.5,2.0,0.001,Starting
73,,,,,,,,,,,,,Difference
74,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,3.001,2.0,3.5,2.0,0.001,Final
75,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,3.001,2.0,3.5,2.0,0.001,Starting
76,,,,,,,,,,,,,Difference
77,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,3.001,2.0,3.5,2.0,0.001,Final
78,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,3.001,2.0,3.5,2.0,0.001,Starting
79,,,,,,,,,,,,,Difference
80,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,3.001,2.0,3.5,2.0,0.001,Final
81,1.001,3.0,3.5,2.6666666666666665,2.0,1.0,0.5,3.001,2.0,3.5,2.0,0.001,Starting
82,,,,,,,,,,,,,Difference
