,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-121.0,"[2, 1, 2, 3, 0, 0, 2, 0, 6, 6, 6, 10]",-838.46,5,0
1,2,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0]",-130.0,5,0
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-1.01,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",-101.01,5,0
3,4,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",-10.1,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]",-20.1,5,0
4,5,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",-120.01,5,Draw
5,6,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-11.0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",-11.01,5,Draw
6,7,0,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-11.2,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",-11.2,5,Draw
7,8,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-121.0,"[0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0]",-131.0,5,0
8,9,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-121.0,"[0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0]",-131.0,5,0
9,10,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-11.0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",-11.01,5,Draw
10,11,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-121.0,"[0, 1, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0]",-131.0,5,0
11,12,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-121.0,"[0, 1, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0]",-131.0,5,0
12,13,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",-120.01,5,Draw
13,14,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-121.0,"[0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",-121.01,5,Draw
14,15,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",-120.01,5,Draw
15,16,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-1.01,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",-1.02,5,Draw
16,17,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-11.0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",-11.01,5,Draw
17,18,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-121.0,"[0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",-121.01,5,Draw
18,19,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-121.0,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-121.1,5,Draw
19,20,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-121.0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",-221.0,5,0
20,21,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-11.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0]",-12.0,5,Draw
21,22,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-11.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.11,5,1
22,23,0,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 2]",-11.309999999999999,"[0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 2]",-11.319999999999999,5,Draw
23,24,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.11,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1]",-1.12,5,Draw
24,25,0,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-11.2,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",-11.209999999999999,5,Draw
25,26,0,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-110.21000000000001,"[0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 2]",-110.22,5,Draw
26,27,0,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-110.21000000000001,"[0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 2]",-110.22,5,Draw
27,28,0,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-111.21000000000001,"[0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 2]",-111.22,5,Draw
28,29,0,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-110.21000000000001,"[0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 2]",-110.22,5,Draw
29,30,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2]",-1.31,"[0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 0, 1]",-1.23,5,Draw
30,31,0,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-111.21000000000001,"[0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 2]",-111.22,5,Draw
31,32,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",-0.21000000000000002,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2]",-0.31,5,Draw
