,adjacent_negative_facts,adjacent_facts_from_clue,adjacent_facts_from_bijectivity,adjacent_facts_from_transitivity,other_negative_facts,other_positive_facts,adjacent_clue,adjacent_bijectivity,adjacent_transitivity,other_clue,other_transitivity,other_bijectivity,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334,0.625,1.0,0.8,Difference
2,1.5,1.0,1.0,1.5,1.5,1.5,1.0,1.5,1.4166666666666667,1.3125,1.5,1.4,Final
3,1.5,1.0,1.0,1.5,1.5,1.5,1.0,1.5,1.4166666666666667,1.3125,1.5,1.4,Starting
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,0.0,-1.0,Difference
5,1.5,1.0,1.0,1.5,1.5,1.5,1.0,2.0,1.6666666666666667,1.4791666666666667,1.5,0.8999999999999999,Final
6,1.5,1.0,1.0,1.5,1.5,1.5,1.0,2.0,1.6666666666666667,1.4791666666666667,1.5,0.8999999999999999,Starting
7,,,,,,,,,,,,,Difference
8,1.5,1.0,1.0,1.5,1.5,1.5,1.0,2.0,1.6666666666666667,1.4791666666666667,1.5,0.8999999999999999,Final
9,1.5,1.0,1.0,1.5,1.5,1.5,1.0,2.0,1.6666666666666667,1.4791666666666667,1.5,0.8999999999999999,Starting
10,,,,,,,,,,,,,Difference
11,1.5,1.0,1.0,1.5,1.5,1.5,1.0,2.0,1.6666666666666667,1.4791666666666667,1.5,0.8999999999999999,Final
12,1.5,1.0,1.0,1.5,1.5,1.5,1.0,2.0,1.6666666666666667,1.4791666666666667,1.5,0.8999999999999999,Starting
13,,,,,,,,,,,,,Difference
14,1.5,1.0,1.0,1.5,1.5,1.5,1.0,2.0,1.6666666666666667,1.4791666666666667,1.5,0.8999999999999999,Final
15,1.5,1.0,1.0,1.5,1.5,1.5,1.0,2.0,1.6666666666666667,1.4791666666666667,1.5,0.8999999999999999,Starting
16,,,,,,,,,,,,,Difference
17,1.5,1.0,1.0,1.5,1.5,1.5,1.0,2.0,1.6666666666666667,1.4791666666666667,1.5,0.8999999999999999,Final
18,1.5,1.0,1.0,1.5,1.5,1.5,1.0,2.0,1.6666666666666667,1.4791666666666667,1.5,0.8999999999999999,Starting
19,,,,,,,,,,,,,Difference
20,1.5,1.0,1.0,1.5,1.5,1.5,1.0,2.0,1.6666666666666667,1.4791666666666667,1.5,0.8999999999999999,Final
21,1.5,1.0,1.0,1.5,1.5,1.5,1.0,2.0,1.6666666666666667,1.4791666666666667,1.5,0.8999999999999999,Starting
22,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,Difference
23,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.0,1.6666666666666667,1.5505952380952381,1.5,0.8999999999999999,Final
24,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.0,1.6666666666666667,1.5505952380952381,1.5,0.8999999999999999,Starting
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,Difference
26,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.5505952380952381,1.5,0.8999999999999999,Final
27,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.5505952380952381,1.5,0.8999999999999999,Starting
28,,,,,,,,,,,,,Difference
29,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.5505952380952381,1.5,0.8999999999999999,Final
30,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.5505952380952381,1.5,0.8999999999999999,Starting
31,,,,,,,,,,,,,Difference
32,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.5505952380952381,1.5,0.8999999999999999,Final
33,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.5505952380952381,1.5,0.8999999999999999,Starting
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,-0.25,Difference
35,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Final
36,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Starting
37,,,,,,,,,,,,,Difference
38,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Final
39,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Starting
40,,,,,,,,,,,,,Difference
41,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Final
42,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Starting
43,,,,,,,,,,,,,Difference
44,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Final
45,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Starting
46,,,,,,,,,,,,,Difference
47,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Final
48,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Starting
49,,,,,,,,,,,,,Difference
50,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Final
51,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Starting
52,,,,,,,,,,,,,Difference
53,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Final
54,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Starting
55,,,,,,,,,,,,,Difference
56,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Final
57,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Starting
58,,,,,,,,,,,,,Difference
59,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Final
60,1.5,1.0,1.0,1.0,1.5,1.5,1.0,2.5,1.1666666666666667,1.6130952380952381,1.5,0.7749999999999999,Starting
61,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,Difference
62,1.5,1.0,1.0,1.0,1.0,1.5,1.0,2.5,1.1666666666666667,1.6964285714285714,1.5,0.7749999999999999,Final
63,1.5,1.0,1.0,1.0,1.0,1.5,1.0,2.5,1.1666666666666667,1.6964285714285714,1.5,0.7749999999999999,Starting
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,-0.25,Difference
65,1.5,1.0,1.0,1.0,1.0,1.5,1.0,2.5,1.1666666666666667,1.7589285714285714,1.5,0.6499999999999999,Final
66,1.5,1.0,1.0,1.0,1.0,1.5,1.0,2.5,1.1666666666666667,1.7589285714285714,1.5,0.6499999999999999,Starting
67,,,,,,,,,,,,,Difference
68,1.5,1.0,1.0,1.0,1.0,1.5,1.0,2.5,1.1666666666666667,1.7589285714285714,1.5,0.6499999999999999,Final
69,1.5,1.0,1.0,1.0,1.0,1.5,1.0,2.5,1.1666666666666667,1.7589285714285714,1.5,0.6499999999999999,Starting
70,,,,,,,,,,,,,Difference
