,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[1, 1, 0, 2, 0, 0, 1, 0, 0, 4, 0, 2]",-27.2,"[0, 0, 0, 0, 0, 0, 2, 2, 6, 6, 6, 10]",-627.62,10,0
1,2,0,"[2, 0, 0, 3, 0, 0, 0, 0, 1, 2, 0, 3]",-7.3999999999999995,"[2, 0, 0, 3, 1, 0, 0, 0, 1, 2, 0, 3]",-8.4,10,0
2,3,0,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 5, 1, 2]",-107.3,"[3, 0, 0, 4, 0, 0, 0, 0, 1, 5, 1, 2]",-112.3,10,Miss
3,4,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-111.01,"[4, 1, 1, 5, 0, 0, 0, 1, 0, 0, 0, 0]",-119.01,10,0
4,5,0,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-3.2,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",-3.11,10,Draw
5,6,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-1.11,10,Draw
6,7,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-2.11,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 0]",-3.11,10,Draw
7,8,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-1.01,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0]",-2.01,10,Draw
8,9,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 2]",-3.3000000000000003,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 1]",-103.19999999999999,10,0
9,10,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",-2.11,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 3, 0, 1]",-13.11,10,0
10,11,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]",-112.11,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 2, 0, 1]",-113.11,10,Draw
11,12,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 6, 0, 4]",-7.5,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 7, 0, 3]",-8.4,10,Draw
12,13,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 4, 0, 3]",-104.39999999999999,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 4, 0, 4]",-104.5,10,Draw
13,14,0,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]",-112.11,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 2]",-112.3,10,Draw
14,15,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 2]",-3.3000000000000003,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 2]",-103.3,10,0
15,16,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2]",-2.3000000000000003,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 2]",-3.3000000000000003,10,0
