,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 0]",-400.01,"[2, 0, 0, 3, 0, 0, 0, 0, 6, 8, 6, 10]",-806.66,5,0
1,2,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-200.01,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]",-200.12,5,Draw
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 2]",-300.03,"[0, 0, 0, 0, 1, 0, 0, 2, 1, 3, 1, 1]",-501.12,5,0
3,4,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-100.01,"[1, 2, 1, 2, 0, 0, 5, 0, 0, 0, 0, 1]",-350.31,5,0
4,5,0,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1]",-200.12,"[0, 0, 0, 0, 0, 0, 0, 1, 6, 8, 0, 2]",-900.0799999999999,5,0
5,6,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-200.01,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-100.02000000000001,5,1
6,7,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 0, 3]",-800.04,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 7, 0, 3]",-700.14,5,1
7,8,0,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-200.12,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 3]",-600.04,5,0
8,9,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-300.1,"[0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 2]",-200.23,5,1
9,10,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 2]",-201.13000000000002,"[0, 0, 0, 0, 0, 1, 0, 0, 6, 3, 0, 3]",-400.09,5,0
10,11,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-100.12,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0]",-100.31,5,0
11,12,0,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-200.13,"[0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-200.21999999999997,5,Draw
12,13,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2]",-10.03,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",-110.12,5,Miss
13,14,0,"[1, 0, 1, 3, 1, 0, 0, 0, 1, 6, 0, 5]",-700.56,"[1, 0, 1, 3, 1, 0, 0, 0, 2, 6, 0, 4]",-700.56,5,Draw
14,15,0,"[1, 0, 2, 2, 0, 0, 0, 0, 2, 2, 0, 3]",-400.34999999999997,"[1, 0, 2, 4, 0, 0, 0, 0, 2, 6, 0, 2]",-800.54,5,0
15,16,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 4]",-500.05,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 3, 1, 2]",-301.13,5,1
16,17,0,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",-10.12,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 2]",-111.03,5,0
17,18,0,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 2]",-210.13000000000002,"[0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 3]",-110.24,5,1
18,19,0,"[1, 0, 0, 2, 0, 0, 0, 0, 2, 3, 0, 3]",-300.34999999999997,"[1, 0, 0, 3, 0, 0, 0, 0, 3, 3, 0, 2]",-300.45,5,Draw
19,20,0,"[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 1]",-20.03,"[0, 0, 0, 2, 0, 0, 2, 0, 1, 0, 0, 2]",-20.23,5,Draw
20,21,0,"[0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 1, 0]",-1.31,"[1, 0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0]",-0.51,5,1
21,22,0,"[0, 0, 0, 1, 0, 0, 0, 0, 2, 2, 1, 2]",-201.14000000000001,"[0, 0, 0, 5, 0, 0, 0, 0, 2, 3, 0, 1]",-300.53,5,0
22,23,0,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 1]",-100.22,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-100.13,5,1
23,24,0,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 2]",-110.13,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1]",-210.10999999999999,5,0
24,25,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",-110.02000000000001,"[0, 0, 0, 0, 0, 0, 1, 1, 6, 1, 0, 0]",-210.06,5,0
25,26,0,"[1, 0, 0, 5, 0, 0, 0, 0, 2, 1, 0, 3]",-100.65,"[1, 0, 0, 4, 1, 0, 0, 0, 2, 1, 1, 10]",-101.72,5,Draw
26,27,0,"[0, 0, 1, 2, 0, 0, 0, 0, 1, 1, 0, 2]",-200.23000000000002,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 10]",-201.21,5,0
