,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,-0.1,0.25,-0.038461538461538464,-1.0,-1.0,1.0,0.25,0.25,-0.25,-0.125,-0.125,-0.125,Difference
2,0.001,3.5,0.6153846153846154,0.001,0.001,11.0,3.5,3.5,0.001,0.001,0.001,0.001,Final
3,0.001,3.5,0.6153846153846154,0.001,0.001,11.0,3.5,3.5,0.001,0.001,0.001,0.001,Starting
4,-0.1,0.125,-0.019230769230769232,-1.0,0.0,0.0,0.125,0.125,0.125,0.125,-0.5,0.125,Difference
5,0.001,4.75,0.42307692307692313,0.001,0.001,11.0,4.75,4.75,1.251,1.251,0.001,1.251,Final
6,0.001,4.75,0.42307692307692313,0.001,0.001,11.0,4.75,4.75,1.251,1.251,0.001,1.251,Starting
7,-0.1,0.125,0.019230769230769232,-1.0,1.0,0.0,0.0,0.0,0.125,0.25,-0.625,0.125,Difference
8,0.001,6.0,0.6153846153846154,0.001,10.001,11.0,4.75,4.75,2.501,3.751,0.001,2.501,Final
9,0.001,6.0,0.6153846153846154,0.001,10.001,11.0,4.75,4.75,2.501,3.751,0.001,2.501,Starting
10,0.05,0.125,0.019230769230769232,0.0,0.0,0.0,0.0,0.25,-0.125,0.0,0.125,-0.125,Difference
11,0.501,7.25,0.8076923076923077,0.001,10.001,11.0,4.75,7.25,1.251,3.751,1.251,1.251,Final
12,0.501,7.25,0.8076923076923077,0.001,10.001,11.0,4.75,7.25,1.251,3.751,1.251,1.251,Starting
13,0.1,-0.125,0.038461538461538464,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.125,Difference
14,1.501,6.0,1.1923076923076923,0.001,10.001,11.0,6.0,7.25,2.501,3.751,2.501,2.501,Final
15,1.501,6.0,1.1923076923076923,0.001,10.001,11.0,6.0,7.25,2.501,3.751,2.501,2.501,Starting
16,-0.05,0.125,0.019230769230769232,0.0,0.0,0.0,0.0,0.125,0.0,0.0,-0.125,-0.125,Difference
17,1.001,7.25,1.3846153846153846,0.001,10.001,11.0,6.0,8.5,2.501,3.751,1.251,1.251,Final
18,1.001,7.25,1.3846153846153846,0.001,10.001,11.0,6.0,8.5,2.501,3.751,1.251,1.251,Starting
19,-0.1,-0.125,0.07692307692307693,0.0,0.0,0.0,0.125,0.0,0.0,0.0,-0.125,-0.125,Difference
20,0.001,6.0,2.1538461538461537,0.001,10.001,11.0,7.25,8.5,2.501,3.751,0.001,0.001,Final
21,0.001,6.0,2.1538461538461537,0.001,10.001,11.0,7.25,8.5,2.501,3.751,0.001,0.001,Starting
22,0.05,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.125,Difference
23,0.501,6.0,2.3461538461538463,0.001,10.001,11.0,7.25,8.5,2.501,3.751,2.501,0.001,Final
24,0.501,6.0,2.3461538461538463,0.001,10.001,11.0,7.25,8.5,2.501,3.751,2.501,0.001,Starting
25,-0.1,0.125,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.125,0.0,-0.375,0.125,Difference
26,0.001,7.25,2.5384615384615388,0.001,10.001,11.0,7.25,8.5,3.751,3.751,0.001,1.251,Final
27,0.001,7.25,2.5384615384615388,0.001,10.001,11.0,7.25,8.5,3.751,3.751,0.001,1.251,Starting
28,-0.15,0.125,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.125,0.0,-0.375,0.0,Difference
29,0.001,8.5,2.7307692307692313,0.001,10.001,11.0,7.25,8.5,5.0009999999999994,3.751,0.001,1.251,Final
30,0.001,8.5,2.7307692307692313,0.001,10.001,11.0,7.25,8.5,5.0009999999999994,3.751,0.001,1.251,Starting
31,-0.15,0.125,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.125,0.0,-0.375,0.0,Difference
32,0.001,9.75,2.923076923076924,0.001,10.001,11.0,7.25,8.5,6.2509999999999994,3.751,0.001,1.251,Final
33,0.001,9.75,2.923076923076924,0.001,10.001,11.0,7.25,8.5,6.2509999999999994,3.751,0.001,1.251,Starting
34,-0.05,0.0,0.07692307692307693,0.0,0.0,0.0,0.125,0.0,0.125,0.0,-0.125,0.0,Difference
35,0.001,9.75,3.692307692307693,0.001,10.001,11.0,8.5,8.5,7.5009999999999994,3.751,0.001,1.251,Final
36,0.001,9.75,3.692307692307693,0.001,10.001,11.0,8.5,8.5,7.5009999999999994,3.751,0.001,1.251,Starting
37,0.05,-0.125,0.09615384615384616,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,Difference
38,0.501,8.5,4.653846153846154,0.001,10.001,11.0,9.75,8.5,7.5009999999999994,3.751,0.001,2.501,Final
39,0.501,8.5,4.653846153846154,0.001,10.001,11.0,9.75,8.5,7.5009999999999994,3.751,0.001,2.501,Starting
40,0.0,-0.125,0.15384615384615385,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,Difference
