,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,0.5,-0.5,0.28846153846153844,-1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.5,0.5,Difference
2,3.5,0.001,2.442307692307692,0.001,6.0,6.0,6.0,4.75,4.75,3.5,3.5,3.5,Final
3,3.5,0.001,2.442307692307692,0.001,6.0,6.0,6.0,4.75,4.75,3.5,3.5,3.5,Starting
4,0.05,-0.125,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,0.0,0.125,0.125,Difference
5,3.75,0.001,2.442307692307692,0.001,6.0,6.0,6.0,4.125,4.75,3.5,4.125,4.125,Final
6,3.75,0.001,2.442307692307692,0.001,6.0,6.0,6.0,4.125,4.75,3.5,4.125,4.125,Starting
7,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.375,-0.125,0.0,0.0,0.0,Difference
8,3.75,1.876,2.442307692307692,0.001,6.0,6.0,6.0,6.0,4.125,3.5,4.125,4.125,Final
9,3.75,1.876,2.442307692307692,0.001,6.0,6.0,6.0,6.0,4.125,3.5,4.125,4.125,Starting
10,0.05,-0.125,0.0,0.0,0.0,0.0,-0.125,-0.25,0.0,-0.125,0.25,0.125,Difference
11,4.0,1.251,2.442307692307692,0.001,6.0,6.0,5.375,4.75,4.125,2.875,5.375,4.75,Final
12,4.0,1.251,2.442307692307692,0.001,6.0,6.0,5.375,4.75,4.125,2.875,5.375,4.75,Starting
13,0.0,0.125,0.057692307692307696,0.0,0.0,0.0,-0.125,0.125,0.125,-0.125,0.125,-0.125,Difference
14,4.0,1.876,2.7307692307692304,0.001,6.0,6.0,4.75,5.375,4.75,2.25,6.0,4.125,Final
15,4.0,1.876,2.7307692307692304,0.001,6.0,6.0,4.75,5.375,4.75,2.25,6.0,4.125,Starting
16,0.0,0.125,0.057692307692307696,0.0,0.0,0.0,-0.125,0.125,0.125,-0.125,0.125,-0.125,Difference
17,4.0,2.501,3.0192307692307687,0.001,6.0,6.0,4.125,6.0,5.375,1.625,6.625,3.5,Final
18,4.0,2.501,3.0192307692307687,0.001,6.0,6.0,4.125,6.0,5.375,1.625,6.625,3.5,Starting
19,0.1,-0.125,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,0.0,0.125,0.25,Difference
20,4.5,1.876,3.0192307692307687,0.001,6.0,6.0,4.125,5.375,5.375,1.625,7.25,4.75,Final
21,4.5,1.876,3.0192307692307687,0.001,6.0,6.0,4.125,5.375,5.375,1.625,7.25,4.75,Starting
22,-0.05,-0.125,0.0,0.0,0.0,0.0,-0.125,-0.125,-0.125,-0.25,0.125,0.125,Difference
23,4.25,1.251,3.0192307692307687,0.001,6.0,6.0,3.5,4.75,4.75,0.375,7.875,5.375,Final
24,4.25,1.251,3.0192307692307687,0.001,6.0,6.0,3.5,4.75,4.75,0.375,7.875,5.375,Starting
25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.375,-0.125,0.0,0.0,0.0,Difference
26,4.25,2.501,3.0192307692307687,0.001,6.0,6.0,3.5,6.625,4.125,0.375,7.875,5.375,Final
27,4.25,2.501,3.0192307692307687,0.001,6.0,6.0,3.5,6.625,4.125,0.375,7.875,5.375,Starting
28,-0.15,0.0,0.11538461538461539,0.0,0.0,0.0,0.125,0.0,-0.125,-0.375,0.0,0.0,Difference
29,3.5,2.501,3.596153846153846,0.001,6.0,6.0,4.125,6.625,3.5,0.001,7.875,5.375,Final
30,3.5,2.501,3.596153846153846,0.001,6.0,6.0,4.125,6.625,3.5,0.001,7.875,5.375,Starting
31,-0.05,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,-0.125,0.0,0.0,Difference
32,3.25,3.126,3.596153846153846,0.001,6.0,6.0,4.75,6.625,3.5,0.001,7.875,5.375,Final
33,3.25,3.126,3.596153846153846,0.001,6.0,6.0,4.75,6.625,3.5,0.001,7.875,5.375,Starting
34,-0.05,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,-0.125,-0.125,Difference
35,3.0,3.751,3.596153846153846,0.001,6.0,6.0,4.75,7.25,3.5,0.001,7.25,4.75,Final
36,3.0,3.751,3.596153846153846,0.001,6.0,6.0,4.75,7.25,3.5,0.001,7.25,4.75,Starting
37,0.05,-0.125,0.0,0.0,0.0,0.0,-0.125,-0.25,0.0,-0.125,0.25,0.125,Difference
38,3.25,3.126,3.596153846153846,0.001,6.0,6.0,4.125,6.0,3.5,0.001,8.5,5.375,Final
39,3.25,3.126,3.596153846153846,0.001,6.0,6.0,4.125,6.0,3.5,0.001,8.5,5.375,Starting
40,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.25,0.25,0.25,0.25,-0.25,-0.25,Difference
41,3.25,3.126,3.9807692307692304,0.001,6.0,6.0,5.375,7.25,4.75,1.251,7.25,4.125,Final
42,3.25,3.126,3.9807692307692304,0.001,6.0,6.0,5.375,7.25,4.75,1.251,7.25,4.125,Starting
43,-0.1,0.25,0.0,0.0,0.0,0.0,-0.125,0.25,-0.125,-0.125,0.125,-0.5,Difference
44,2.75,4.3759999999999994,3.9807692307692304,0.001,6.0,6.0,4.75,8.5,4.125,0.6259999999999999,7.875,1.625,Final
45,2.75,4.3759999999999994,3.9807692307692304,0.001,6.0,6.0,4.75,8.5,4.125,0.6259999999999999,7.875,1.625,Starting
46,0.0,0.0,-0.057692307692307696,0.0,0.0,0.0,-0.25,0.0,-0.125,-0.125,0.375,-0.375,Difference
47,2.75,4.3759999999999994,3.692307692307692,0.001,6.0,6.0,3.5,8.5,3.5,0.001,9.75,0.001,Final
48,2.75,4.3759999999999994,3.692307692307692,0.001,6.0,6.0,3.5,8.5,3.5,0.001,9.75,0.001,Starting
49,0.0,-0.125,0.07692307692307693,0.0,0.0,0.0,0.125,0.0,0.25,0.125,-0.125,-0.125,Difference
50,2.75,3.7509999999999994,4.076923076923077,0.001,6.0,6.0,4.125,8.5,4.75,0.626,9.125,0.001,Final
51,2.75,3.7509999999999994,4.076923076923077,0.001,6.0,6.0,4.125,8.5,4.75,0.626,9.125,0.001,Starting
52,0.15,-0.125,0.057692307692307696,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.375,Difference
53,3.5,3.1259999999999994,4.365384615384615,0.001,6.0,6.0,5.375,8.5,4.75,1.251,9.125,1.876,Final
54,3.5,3.1259999999999994,4.365384615384615,0.001,6.0,6.0,5.375,8.5,4.75,1.251,9.125,1.876,Starting
55,-0.15,0.125,0.057692307692307696,0.0,0.0,0.0,0.0,0.125,0.125,0.0,-0.125,-0.375,Difference
56,2.75,3.7509999999999994,4.653846153846153,0.001,6.0,6.0,5.375,9.125,5.375,1.251,8.5,0.001,Final
57,2.75,3.7509999999999994,4.653846153846153,0.001,6.0,6.0,5.375,9.125,5.375,1.251,8.5,0.001,Starting
58,-0.05,0.375,-0.11538461538461539,0.0,0.0,0.0,-0.125,0.25,0.0,0.125,-0.25,-0.125,Difference
59,2.5,5.6259999999999994,4.076923076923077,0.001,6.0,6.0,4.75,10.375,5.375,1.876,7.25,0.001,Final
60,2.5,5.6259999999999994,4.076923076923077,0.001,6.0,6.0,4.75,10.375,5.375,1.876,7.25,0.001,Starting
61,0.0,0.0,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,0.125,-0.125,Difference
62,2.5,5.6259999999999994,4.365384615384615,0.001,6.0,6.0,4.75,10.375,5.375,1.251,7.875,0.001,Final
63,2.5,5.6259999999999994,4.365384615384615,0.001,6.0,6.0,4.75,10.375,5.375,1.251,7.875,0.001,Starting
64,0.0,0.125,0.019230769230769232,0.0,0.0,0.0,0.125,0.0,-0.25,0.0,0.0,0.125,Difference
65,2.5,6.2509999999999994,4.461538461538461,0.001,6.0,6.0,5.375,10.375,4.125,1.251,7.875,0.626,Final
66,2.5,6.2509999999999994,4.461538461538461,0.001,6.0,6.0,5.375,10.375,4.125,1.251,7.875,0.626,Starting
67,-0.05,-0.125,0.09615384615384616,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,-0.125,Difference
68,2.25,5.6259999999999994,4.942307692307692,0.001,6.0,6.0,6.0,10.375,4.125,1.251,7.875,0.0010000000000000009,Final
69,2.25,5.6259999999999994,4.942307692307692,0.001,6.0,6.0,6.0,10.375,4.125,1.251,7.875,0.0010000000000000009,Starting
70,0.2,0.0,-0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.5,Difference
71,3.25,5.6259999999999994,4.461538461538461,0.001,6.0,6.0,6.0,10.375,4.125,1.876,7.875,2.501,Final
72,3.25,5.6259999999999994,4.461538461538461,0.001,6.0,6.0,6.0,10.375,4.125,1.876,7.875,2.501,Starting
73,0.1,-0.125,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,0.0,0.125,0.25,Difference
74,3.75,5.0009999999999994,4.461538461538461,0.001,6.0,6.0,6.0,9.75,4.125,1.876,8.5,3.751,Final
75,3.75,5.0009999999999994,4.461538461538461,0.001,6.0,6.0,6.0,9.75,4.125,1.876,8.5,3.751,Starting
76,0.1,-0.125,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,0.0,0.125,0.25,Difference
77,4.25,4.3759999999999994,4.461538461538461,0.001,6.0,6.0,6.0,9.125,4.125,1.876,9.125,5.0009999999999994,Final
78,4.25,4.3759999999999994,4.461538461538461,0.001,6.0,6.0,6.0,9.125,4.125,1.876,9.125,5.0009999999999994,Starting
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.125,Difference
80,4.25,4.3759999999999994,4.461538461538461,0.001,6.0,6.0,6.0,9.125,4.125,1.876,9.75,4.3759999999999994,Final
81,4.25,4.3759999999999994,4.461538461538461,0.001,6.0,6.0,6.0,9.125,4.125,1.876,9.75,4.3759999999999994,Starting
82,0.05,-0.125,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,0.0,0.125,0.125,Difference
83,4.5,3.7509999999999994,4.461538461538461,0.001,6.0,6.0,6.0,8.5,4.125,1.876,10.375,5.0009999999999994,Final
84,4.5,3.7509999999999994,4.461538461538461,0.001,6.0,6.0,6.0,8.5,4.125,1.876,10.375,5.0009999999999994,Starting
85,-0.05,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,-0.125,-0.125,Difference
86,4.25,3.7509999999999994,4.461538461538461,0.001,6.0,6.0,6.625,9.125,4.125,2.501,9.75,4.3759999999999994,Final
87,4.25,3.7509999999999994,4.461538461538461,0.001,6.0,6.0,6.625,9.125,4.125,2.501,9.75,4.3759999999999994,Starting
88,-0.05,0.125,0.09615384615384616,0.0,0.0,0.0,-0.125,0.125,0.0,-0.25,0.125,-0.25,Difference
89,4.0,4.3759999999999994,4.942307692307692,0.001,6.0,6.0,6.0,9.75,4.125,1.251,10.375,3.1259999999999994,Final
90,4.0,4.3759999999999994,4.942307692307692,0.001,6.0,6.0,6.0,9.75,4.125,1.251,10.375,3.1259999999999994,Starting
91,-0.05,0.125,0.0,0.0,0.0,0.0,-0.125,0.0,0.0,-0.125,0.0,-0.125,Difference
92,3.75,5.0009999999999994,4.942307692307692,0.001,6.0,6.0,5.375,9.75,4.125,0.6259999999999999,10.375,2.5009999999999994,Final
93,3.75,5.0009999999999994,4.942307692307692,0.001,6.0,6.0,5.375,9.75,4.125,0.6259999999999999,10.375,2.5009999999999994,Starting
94,0.05,0.0,0.0,0.0,0.0,0.0,-0.125,-0.125,0.0,-0.125,0.125,0.125,Difference
95,4.0,5.0009999999999994,4.942307692307692,0.001,6.0,6.0,4.75,9.125,4.125,0.001,11.0,3.1259999999999994,Final
96,4.0,5.0009999999999994,4.942307692307692,0.001,6.0,6.0,4.75,9.125,4.125,0.001,11.0,3.1259999999999994,Starting
97,0.05,-0.25,0.0,0.0,0.0,0.0,0.0,-0.125,-0.125,-0.125,0.125,0.375,Difference
98,4.25,3.7509999999999994,4.942307692307692,0.001,6.0,6.0,4.75,8.5,3.5,0.001,11.625,5.0009999999999994,Final
99,4.25,3.7509999999999994,4.942307692307692,0.001,6.0,6.0,4.75,8.5,3.5,0.001,11.625,5.0009999999999994,Starting
100,0.05,-0.125,0.1346153846153846,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,-0.125,Difference
101,4.5,3.1259999999999994,5.615384615384615,0.001,6.0,6.0,4.75,8.5,4.125,0.626,11.625,4.3759999999999994,Final
102,4.5,3.1259999999999994,5.615384615384615,0.001,6.0,6.0,4.75,8.5,4.125,0.626,11.625,4.3759999999999994,Starting
103,-0.15,0.125,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.375,0.0,0.0,Difference
104,3.75,3.7509999999999994,5.615384615384615,0.001,6.0,6.0,4.75,8.5,3.5,0.001,11.625,4.3759999999999994,Final
105,3.75,3.7509999999999994,5.615384615384615,0.001,6.0,6.0,4.75,8.5,3.5,0.001,11.625,4.3759999999999994,Starting
106,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.125,-0.375,0.125,0.125,Difference
107,3.25,3.7509999999999994,5.615384615384615,0.001,6.0,6.0,4.75,7.875,2.875,0.001,12.25,5.0009999999999994,Final
108,3.25,3.7509999999999994,5.615384615384615,0.001,6.0,6.0,4.75,7.875,2.875,0.001,12.25,5.0009999999999994,Starting
109,-0.2,0.0,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,Difference
110,2.25,3.7509999999999994,6.096153846153846,0.001,6.0,6.0,4.75,7.875,2.875,0.001,12.25,5.0009999999999994,Final
111,2.25,3.7509999999999994,6.096153846153846,0.001,6.0,6.0,4.75,7.875,2.875,0.001,12.25,5.0009999999999994,Starting
112,-0.05,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,0.0,Difference
113,2.0,3.7509999999999994,6.192307692307692,0.001,6.0,6.0,4.75,7.875,2.875,0.001,12.25,5.0009999999999994,Final
114,2.0,3.7509999999999994,6.192307692307692,0.001,6.0,6.0,4.75,7.875,2.875,0.001,12.25,5.0009999999999994,Starting
115,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.125,0.0,-0.125,0.125,0.0,Difference
116,2.0,3.7509999999999994,6.192307692307692,0.001,6.0,6.0,4.125,7.25,2.875,0.001,12.875,5.0009999999999994,Final
117,2.0,3.7509999999999994,6.192307692307692,0.001,6.0,6.0,4.125,7.25,2.875,0.001,12.875,5.0009999999999994,Starting
118,-0.15,0.125,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.375,0.0,0.0,Difference
119,1.25,4.3759999999999994,6.192307692307692,0.001,6.0,6.0,4.125,7.25,2.25,0.001,12.875,5.0009999999999994,Final
120,1.25,4.3759999999999994,6.192307692307692,0.001,6.0,6.0,4.125,7.25,2.25,0.001,12.875,5.0009999999999994,Starting
121,-0.15,0.125,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.375,0.0,0.0,Difference
122,0.5,5.0009999999999994,6.192307692307692,0.001,6.0,6.0,4.125,7.25,1.625,0.001,12.875,5.0009999999999994,Final
123,0.5,5.0009999999999994,6.192307692307692,0.001,6.0,6.0,4.125,7.25,1.625,0.001,12.875,5.0009999999999994,Starting
124,-0.35,0.375,0.0,0.0,0.0,0.0,-0.25,-0.125,-0.25,-1.0,0.125,-0.125,Difference
125,0.001,6.8759999999999994,6.192307692307692,0.001,6.0,6.0,2.875,6.625,0.375,0.001,13.5,4.3759999999999994,Final
126,0.001,6.8759999999999994,6.192307692307692,0.001,6.0,6.0,2.875,6.625,0.375,0.001,13.5,4.3759999999999994,Starting
127,0.05,-0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.125,Difference
128,0.251,6.2509999999999994,6.192307692307692,0.001,6.0,6.0,3.5,6.625,0.375,0.626,13.5,5.0009999999999994,Final
129,0.251,6.2509999999999994,6.192307692307692,0.001,6.0,6.0,3.5,6.625,0.375,0.626,13.5,5.0009999999999994,Starting
130,-0.3,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,Difference
131,0.001,6.2509999999999994,6.769230769230768,0.001,6.0,6.0,3.5,6.625,0.375,0.001,13.5,5.0009999999999994,Final
132,0.001,6.2509999999999994,6.769230769230768,0.001,6.0,6.0,3.5,6.625,0.375,0.001,13.5,5.0009999999999994,Starting
133,-0.1,0.0,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,-0.125,Difference
134,0.001,6.2509999999999994,7.057692307692307,0.001,6.0,6.0,3.5,6.625,0.375,0.001,13.5,4.3759999999999994,Final
135,0.001,6.2509999999999994,7.057692307692307,0.001,6.0,6.0,3.5,6.625,0.375,0.001,13.5,4.3759999999999994,Starting
136,-0.05,-0.125,0.019230769230769232,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,Difference
137,0.001,5.6259999999999994,7.153846153846152,0.001,6.0,6.0,4.125,6.625,0.375,0.001,13.5,4.3759999999999994,Final
138,0.001,5.6259999999999994,7.153846153846152,0.001,6.0,6.0,4.125,6.625,0.375,0.001,13.5,4.3759999999999994,Starting
139,-0.15,-0.125,0.019230769230769232,0.0,0.0,0.0,0.125,0.0,0.0,-0.375,0.0,0.0,Difference
140,0.001,5.0009999999999994,7.249999999999998,0.001,6.0,6.0,4.75,6.625,0.375,0.001,13.5,4.3759999999999994,Final
