,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,-0.5,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,Difference
2,11.0,0.001,11.0,0.001,11.0,11.0,11.0,0.001,0.001,11.0,11.0,11.0,Final
3,11.0,0.001,11.0,0.001,11.0,11.0,11.0,0.001,0.001,11.0,11.0,11.0,Starting
4,-1.0,0.25,-1.0,1.0,-1.0,0.0,-1.0,1.0,-0.3333333333333333,-1.0,0.0,-1.0,Difference
5,1.0,2.501,1.0,10.001,1.0,11.0,1.0,10.001,0.001,1.0,11.0,1.0,Final
6,1.0,2.501,1.0,10.001,1.0,11.0,1.0,10.001,0.001,1.0,11.0,1.0,Starting
7,,,,,,,,,,,,,Difference
8,1.0,2.501,1.0,10.001,1.0,11.0,1.0,10.001,0.001,1.0,11.0,1.0,Final
9,1.0,2.501,1.0,10.001,1.0,11.0,1.0,10.001,0.001,1.0,11.0,1.0,Starting
10,,,,,,,,,,,,,Difference
11,1.0,2.501,1.0,10.001,1.0,11.0,1.0,10.001,0.001,1.0,11.0,1.0,Final
12,1.0,2.501,1.0,10.001,1.0,11.0,1.0,10.001,0.001,1.0,11.0,1.0,Starting
13,-0.5,-0.25,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,0.5,-0.5,0.0,0.0,Difference
14,0.001,0.001,1.0,10.001,1.0,11.0,0.001,10.001,5.001,0.001,11.0,1.0,Final
15,0.001,0.001,1.0,10.001,1.0,11.0,0.001,10.001,5.001,0.001,11.0,1.0,Starting
16,,,,,,,,,,,,,Difference
17,0.001,0.001,1.0,10.001,1.0,11.0,0.001,10.001,5.001,0.001,11.0,1.0,Final
18,0.001,0.001,1.0,10.001,1.0,11.0,0.001,10.001,5.001,0.001,11.0,1.0,Starting
19,,,,,,,,,,,,,Difference
20,0.001,0.001,1.0,10.001,1.0,11.0,0.001,10.001,5.001,0.001,11.0,1.0,Final
21,0.001,0.001,1.0,10.001,1.0,11.0,0.001,10.001,5.001,0.001,11.0,1.0,Starting
