,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,-1.0,1.0,1.0,-1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,Difference
2,2.0,0.001,2.0,2.0,0.001,2.0,1.75,2.0,1.75,2.0,2.0,2.0,Final
3,2.0,0.001,2.0,2.0,0.001,2.0,1.75,2.0,1.75,2.0,2.0,2.0,Starting
4,1.0,-0.5,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,Difference
5,3.0,0.001,3.0,3.0,0.001,3.0,0.75,3.0,0.75,3.0,3.0,3.0,Final
6,3.0,0.001,3.0,3.0,0.001,3.0,0.75,3.0,0.75,3.0,3.0,3.0,Starting
7,0.0,0.25,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,-1.0,1.0,-1.0,Difference
8,3.0,0.251,4.0,3.0,0.001,3.0,1.4166666666666665,4.0,1.0833333333333333,2.0,4.0,2.0,Final
9,3.0,0.251,4.0,3.0,0.001,3.0,1.4166666666666665,4.0,1.0833333333333333,2.0,4.0,2.0,Starting
10,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,-1.0,1.0,0.0,Difference
11,3.0,0.251,4.0,3.0,0.001,3.0,1.9166666666666665,5.0,1.0833333333333333,1.0,5.0,2.0,Final
12,3.0,0.251,4.0,3.0,0.001,3.0,1.9166666666666665,5.0,1.0833333333333333,1.0,5.0,2.0,Starting
13,,,,,,,,,,,,,Difference
14,3.0,0.251,4.0,3.0,0.001,3.0,1.9166666666666665,5.0,1.0833333333333333,1.0,5.0,2.0,Final
15,3.0,0.251,4.0,3.0,0.001,3.0,1.9166666666666665,5.0,1.0833333333333333,1.0,5.0,2.0,Starting
16,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,0.5,0.0,-0.5,Difference
17,3.5,0.251,4.0,3.0,0.001,3.0,2.9166666666666665,5.0,0.5833333333333333,1.5,5.0,1.5,Final
18,3.5,0.251,4.0,3.0,0.001,3.0,2.9166666666666665,5.0,0.5833333333333333,1.5,5.0,1.5,Starting
19,,,,,,,,,,,,,Difference
20,3.5,0.251,4.0,3.0,0.001,3.0,2.9166666666666665,5.0,0.5833333333333333,1.5,5.0,1.5,Final
21,3.5,0.251,4.0,3.0,0.001,3.0,2.9166666666666665,5.0,0.5833333333333333,1.5,5.0,1.5,Starting
22,,,,,,,,,,,,,Difference
23,3.5,0.251,4.0,3.0,0.001,3.0,2.9166666666666665,5.0,0.5833333333333333,1.5,5.0,1.5,Final
24,3.5,0.251,4.0,3.0,0.001,3.0,2.9166666666666665,5.0,0.5833333333333333,1.5,5.0,1.5,Starting
25,0.0,0.4,0.0,0.0,0.0,0.0,0.75,0.0,-0.5,0.0,0.0,0.0,Difference
26,3.5,0.651,4.0,3.0,0.001,3.0,3.6666666666666665,5.0,0.08333333333333326,1.5,5.0,1.5,Final
27,3.5,0.651,4.0,3.0,0.001,3.0,3.6666666666666665,5.0,0.08333333333333326,1.5,5.0,1.5,Starting
28,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Difference
29,3.5,0.651,4.0,4.0,0.001,3.0,2.6666666666666665,5.0,0.08333333333333326,1.5,5.0,1.5,Final
30,3.5,0.651,4.0,4.0,0.001,3.0,2.6666666666666665,5.0,0.08333333333333326,1.5,5.0,1.5,Starting
31,,,,,,,,,,,,,Difference
32,3.5,0.651,4.0,4.0,0.001,3.0,2.6666666666666665,5.0,0.08333333333333326,1.5,5.0,1.5,Final
33,3.5,0.651,4.0,4.0,0.001,3.0,2.6666666666666665,5.0,0.08333333333333326,1.5,5.0,1.5,Starting
34,,,,,,,,,,,,,Difference
35,3.5,0.651,4.0,4.0,0.001,3.0,2.6666666666666665,5.0,0.08333333333333326,1.5,5.0,1.5,Final
36,3.5,0.651,4.0,4.0,0.001,3.0,2.6666666666666665,5.0,0.08333333333333326,1.5,5.0,1.5,Starting
37,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6,0.0,-0.5,0.0,0.0,0.0,Difference
38,3.5,0.9843333333333333,4.0,4.0,0.001,3.0,3.2666666666666666,5.0,0.001,1.5,5.0,1.5,Final
39,3.5,0.9843333333333333,4.0,4.0,0.001,3.0,3.2666666666666666,5.0,0.001,1.5,5.0,1.5,Starting
40,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,Difference
41,3.5,0.9843333333333333,4.0,3.0,0.001,4.0,4.266666666666667,5.0,0.001,1.5,5.0,1.5,Final
42,3.5,0.9843333333333333,4.0,3.0,0.001,4.0,4.266666666666667,5.0,0.001,1.5,5.0,1.5,Starting
43,-0.6,0.75,1.0,-1.0,1.0,0.0,0.5,1.0,0.3333333333333333,0.5,-1.0,-0.8,Difference
44,2.9,1.7343333333333333,5.0,2.0,1.001,4.0,4.766666666666667,6.0,0.3343333333333333,2.0,4.0,0.7,Final
45,2.9,1.7343333333333333,5.0,2.0,1.001,4.0,4.766666666666667,6.0,0.3343333333333333,2.0,4.0,0.7,Starting
46,0.2,-0.5,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.5,Difference
47,3.1,1.2343333333333333,6.0,2.0,2.001,4.0,4.766666666666667,5.0,0.3343333333333333,3.0,4.0,1.2,Final
48,3.1,1.2343333333333333,6.0,2.0,2.001,4.0,4.766666666666667,5.0,0.3343333333333333,3.0,4.0,1.2,Starting
49,0.25,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.25,0.5,Difference
50,3.35,0.901,6.0,2.0,2.001,4.0,4.766666666666667,4.5,0.3343333333333333,3.0,4.25,1.7,Final
51,3.35,0.901,6.0,2.0,2.001,4.0,4.766666666666667,4.5,0.3343333333333333,3.0,4.25,1.7,Starting
52,0.8,-0.6666666666666666,0.0,1.0,-1.0,0.0,-1.0,0.0,-0.5,-1.0,1.0,0.5,Difference
53,4.15,0.2343333333333334,6.0,3.0,1.001,4.0,3.7666666666666666,4.5,0.001,2.0,5.25,2.2,Final
54,4.15,0.2343333333333334,6.0,3.0,1.001,4.0,3.7666666666666666,4.5,0.001,2.0,5.25,2.2,Starting
55,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5,-1.0,0.6,-0.6,Difference
56,4.15,0.2343333333333334,6.0,3.0,1.001,4.0,2.7666666666666666,4.5,0.001,1.0,5.85,1.6,Final
57,4.15,0.2343333333333334,6.0,3.0,1.001,4.0,2.7666666666666666,4.5,0.001,1.0,5.85,1.6,Starting
58,0.6,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.6,0.0,Difference
59,4.75,0.001,6.0,3.0,1.001,4.0,2.7666666666666666,4.5,0.001,1.0,6.449999999999999,1.6,Final
60,4.75,0.001,6.0,3.0,1.001,4.0,2.7666666666666666,4.5,0.001,1.0,6.449999999999999,1.6,Starting
61,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.125,-0.5,Difference
62,4.75,0.001,6.0,3.0,2.001,4.0,2.7666666666666666,4.5,0.001,2.0,6.324999999999999,1.1,Final
63,4.75,0.001,6.0,3.0,2.001,4.0,2.7666666666666666,4.5,0.001,2.0,6.324999999999999,1.1,Starting
