,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[8, 1, 10, 1, 1, 0, 2, 2, 4, 4, 3, 4]",-1724.0799999999997,"[8, 1, 15, 0, 0, 1, 8, 8, 8, 3, 4, 4]",-2884.92,0.1,0
1,2,0,"[5, 0, 20, 1, 0, 0, 5, 5, 7, 1, 4, 2]",-2654.69,"[6, 0, 18, 0, 1, 1, 8, 8, 3, 1, 5, 2]",-2885.75,0.1,0
2,3,0,"[3, 2, 10, 1, 0, 0, 2, 4, 3, 0, 3, 1]",-1623.4399999999998,"[7, 3, 8, 1, 0, 0, 2, 4, 6, 2, 4, 2]",-1724.8799999999999,0.1,Miss
3,4,0,"[3, 3, 0, 0, 1, 0, 2, 0, 1, 3, 0, 1]",-620.4200000000001,"[2, 3, 2, 0, 0, 1, 2, 3, 1, 2, 0, 1]",-1120.22,0.1,0
4,5,0,"[6, 4, 12, 1, 1, 1, 4, 3, 3, 3, 1, 3]",-2341.86,"[4, 4, 15, 1, 0, 0, 8, 8, 3, 2, 1, 2]",-2981.55,0.1,0
5,6,0,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",-410.23,"[2, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2]",-700.22,0.1,Miss
6,7,0,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 4, 4, 2]",-405.02,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 3, 5, 2]",-306.02,0.1,1
7,8,0,"[5, 1, 1, 1, 1, 0, 0, 0, 1, 1, 4, 2]",-304.72999999999996,"[5, 1, 1, 0, 1, 1, 2, 0, 1, 1, 4, 2]",-424.63,0.1,0
8,9,0,"[4, 4, 0, 0, 1, 0, 3, 1, 2, 2, 2, 0]",-732.52,"[4, 4, 0, 1, 0, 0, 1, 3, 2, 2, 2, 0]",-912.52,0.1,0
9,10,0,"[5, 2, 15, 1, 1, 0, 4, 3, 4, 3, 2, 0]",-2342.74,"[5, 2, 15, 0, 1, 0, 5, 6, 3, 3, 2, 0]",-2652.63,0.1,0
10,11,0,"[1, 3, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1]",-401.23,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-521.11,0.1,0
11,12,0,"[3, 2, 2, 1, 0, 0, 1, 1, 2, 0, 2, 2]",-512.44,"[3, 2, 2, 1, 0, 1, 1, 1, 0, 0, 2, 2]",-612.4200000000001,0.1,0
12,13,0,"[5, 2, 5, 1, 0, 1, 1, 2, 1, 1, 2, 4]",-1112.65,"[5, 2, 5, 1, 0, 0, 2, 2, 2, 1, 2, 4]",-1022.66,0.1,1
13,14,0,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",-410.23,"[1, 3, 0, 1, 0, 0, 1, 2, 2, 1, 0, 1]",-610.23,0.1,0
14,15,0,"[1, 3, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1]",-401.23,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",-202.34,0.1,1
15,16,0,"[5, 4, 1, 1, 1, 1, 1, 1, 6, 3, 1, 1]",-1011.77,"[7, 3, 1, 1, 1, 1, 1, 1, 2, 4, 2, 1]",-1012.9300000000001,0.1,0
16,17,0,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",-202.34,"[5, 1, 1, 1, 1, 0, 0, 0, 1, 1, 4, 2]",-304.72999999999996,0.1,0
17,18,0,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",-202.34,"[5, 1, 0, 1, 0, 0, 0, 0, 1, 0, 5, 2]",-105.63,0.1,1
18,19,0,"[6, 1, 9, 1, 1, 1, 1, 2, 1, 2, 2, 2]",-1512.8300000000002,"[6, 1, 9, 1, 1, 0, 1, 3, 2, 2, 2, 2]",-1512.8400000000001,0.1,Draw
19,20,0,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 5, 3, 0]",-504.0,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 2, 6, 0]",-207.0,0.1,Miss
20,21,0,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",-202.34,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",-410.23,0.1,0
21,22,0,"[1, 3, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1]",-401.23,"[4, 2, 0, 1, 0, 0, 0, 1, 1, 0, 4, 1]",-304.52,0.1,1
22,23,0,"[4, 2, 0, 1, 0, 0, 0, 1, 1, 0, 4, 2]",-304.53,"[8, 0, 0, 1, 1, 1, 0, 0, 0, 3, 3, 2]",-404.02,0.1,0
23,24,0,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 5, 3, 2]",-504.02,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 6, 2, 2]",-603.02,0.1,0
24,25,0,"[5, 1, 2, 0, 1, 1, 1, 0, 0, 3, 0, 3]",-710.63,"[5, 1, 2, 1, 1, 0, 1, 0, 2, 3, 0, 3]",-610.75,0.1,1
25,26,0,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 5, 3, 2]",-504.02,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 4, 4, 1]",-405.01,0.1,1
26,27,0,"[1, 3, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1]",-401.23,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",-410.23,0.1,0
27,28,0,"[4, 2, 2, 1, 1, 0, 0, 1, 1, 1, 3, 0]",-603.61,"[5, 1, 2, 1, 1, 0, 0, 0, 1, 2, 3, 0]",-503.71000000000004,0.1,1
