,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[6, 0, 13, 1, 1, 0, 3, 2, 3, 4, 1, 4]",-1442.72,"[6, 0, 19, 0, 0, 1, 8, 8, 8, 4, 1, 4]",-2191.28,1,Miss
1,2,0,"[1, 4, 3, 0, 0, 1, 2, 3, 1, 0, 1, 0]",-561.13,"[7, 2, 15, 1, 1, 0, 8, 8, 8, 2, 3, 4]",-1912.28,1,0
2,3,0,"[7, 0, 4, 0, 0, 1, 2, 3, 4, 2, 3, 5]",-829.93,"[6, 1, 14, 0, 0, 1, 6, 6, 4, 1, 4, 3]",-1977.76,1,0
3,4,0,"[5, 1, 14, 0, 0, 1, 6, 6, 5, 1, 2, 2]",-1776.76,"[6, 1, 14, 0, 0, 1, 5, 6, 4, 1, 3, 2]",-1867.66,1,0
4,5,0,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-160.02,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-251.10999999999999,1,Miss
5,6,0,"[6, 2, 4, 0, 1, 1, 2, 2, 2, 2, 2, 4]",-749.62,"[7, 2, 4, 0, 1, 1, 1, 2, 1, 3, 2, 4]",-741.52,1,1
6,7,0,"[7, 1, 13, 0, 0, 1, 5, 5, 4, 4, 2, 3]",-1671.75,"[5, 1, 15, 0, 0, 1, 5, 5, 4, 2, 2, 3]",-1867.75,1,0
7,8,0,"[5, 2, 4, 0, 0, 1, 2, 2, 2, 1, 3, 2]",-846.4200000000001,"[5, 2, 2, 0, 0, 1, 3, 2, 2, 2, 3, 1]",-657.32,1,1
8,9,0,"[2, 4, 12, 0, 0, 1, 4, 5, 3, 0, 2, 0]",-1582.35,"[1, 4, 13, 0, 0, 1, 5, 5, 2, 0, 1, 0]",-1591.25,1,0
9,10,0,"[4, 2, 0, 0, 0, 1, 1, 2, 1, 4, 0, 1]",-138.22,"[6, 1, 0, 0, 0, 1, 0, 2, 1, 6, 0, 2]",-122.32,1,1
10,11,0,"[5, 4, 2, 1, 0, 0, 1, 2, 3, 1, 3, 2]",-557.52,"[4, 4, 2, 1, 0, 1, 1, 3, 3, 1, 2, 2]",-556.53,1,1
11,12,0,"[8, 1, 11, 1, 0, 1, 2, 4, 3, 4, 2, 3]",-1443.6399999999999,"[6, 2, 11, 0, 0, 1, 3, 4, 2, 2, 2, 3]",-1458.54,1,Miss
12,13,0,"[7, 0, 6, 0, 0, 1, 1, 2, 3, 5, 0, 4]",-722.7199999999999,"[7, 0, 6, 0, 0, 1, 2, 2, 2, 5, 0, 4]",-732.62,1,0
13,14,0,"[3, 2, 0, 0, 0, 1, 1, 1, 0, 1, 1, 3]",-234.31,"[3, 2, 2, 0, 0, 1, 1, 2, 2, 2, 0, 2]",-335.41999999999996,1,0
14,15,0,"[3, 2, 0, 0, 0, 1, 1, 1, 0, 1, 1, 3]",-234.31,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-142.12,1,1
15,16,0,"[4, 2, 1, 1, 0, 1, 1, 1, 0, 0, 2, 3]",-435.31,"[5, 1, 1, 1, 0, 1, 1, 0, 0, 0, 3, 4]",-526.4,1,0
16,17,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-142.12,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-160.02,1,0
