,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",-10.01,"[2, 1, 2, 3, 0, 0, 0, 2, 6, 7, 6, 10]",-1164.0,0.5,0
1,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-101.0,"[3, 3, 2, 4, 0, 0, 5, 2, 6, 0, 6, 10]",-675.05,0.5,0
2,3,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",-11.01,"[0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0, 1]",-222.0,0.5,0
3,4,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",-10.01,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-101.0,0.5,0
4,5,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-110.0,"[0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1]",-20.02,0.5,1
5,6,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",-20.009999999999998,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-110.0,0.5,0
6,7,0,"[0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1]",-20.02,"[0, 1, 0, 1, 0, 0, 5, 0, 0, 0, 0, 1]",-120.05,0.5,0
7,8,0,"[0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1]",-20.02,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-110.0,0.5,0
8,9,0,"[0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1]",-20.02,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 2]",-21.02,0.5,Draw
9,10,0,"[0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1]",-20.02,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 2]",-21.02,0.5,0
10,11,0,"[0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1]",-20.02,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-110.0,0.5,0
11,12,0,"[0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 2]",-40.04,"[0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 4]",-41.05,0.5,Draw
12,13,0,"[0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 2]",-40.04,"[0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 4]",-41.05,0.5,0
13,14,0,"[0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 2]",-40.04,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-110.0,0.5,0
14,15,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 0, 0, 0, 0, 4, 2, 0, 1, 0, 10]",-220.04,0.5,0
15,16,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-120.01,0.5,Draw
16,17,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-110.0,0.5,1
17,18,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-110.0,0.5,1
18,19,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-110.0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,0.5,0
19,20,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",-120.01,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,0.5,Draw
20,21,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",-120.01,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,0.5,Draw
21,22,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",-120.01,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,0.5,Draw
22,23,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",-120.01,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,0.5,Draw
23,24,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",-120.01,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,0.5,Draw
