,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",-110.0,"[2, 0, 2, 3, 0, 0, 0, 0, 6, 8, 6, 10]",-1118.8,5,0
1,2,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",-110.0,"[0, 1, 0, 1, 0, 0, 5, 0, 0, 0, 0, 1]",-161.0,5,0
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-200.0,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1]",-211.0,5,0
3,4,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-200.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-101.0,5,1
4,5,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-101.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-200.0,5,0
5,6,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-200.0,"[0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 1]",-107.0,5,1
6,7,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-102.0,"[0, 0, 0, 0, 0, 0, 0, 1, 6, 1, 0, 0]",-206.0,5,0
7,8,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-102.0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",-12.0,5,1
8,9,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",-12.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-102.0,5,0
9,10,0,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1]",-22.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-102.0,5,0
10,11,0,"[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 1]",-23.0,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 2]",-23.0,5,Draw
11,12,0,"[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 2]",-24.0,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 3]",-24.0,5,Draw
12,13,0,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 3]",-24.0,"[0, 0, 0, 0, 0, 0, 5, 0, 2, 0, 0, 2]",-54.0,5,0
13,14,0,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 3]",-24.0,"[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 2]",-24.0,5,Draw
14,15,0,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 3]",-24.0,"[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 2]",-24.0,5,Draw
15,16,0,"[0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 4]",-45.0,"[0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 2]",-44.0,5,1
16,17,0,"[0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 3]",-45.0,"[0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 5]",-46.0,5,Miss
17,18,0,"[0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 5]",-46.0,"[0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 3]",-45.0,5,1
18,19,0,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-121.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-102.0,5,1
19,20,0,"[0, 0, 0, 0, 4, 0, 0, 0, 1, 1, 0, 0]",-501.0,"[0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 1]",-107.0,5,1
