,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,"[2, 1, 2, 3, 0, 0, 2, 0, 6, 6, 6, 10]",-1044.02,0.5,0
1,2,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[3, 0, 3, 4, 0, 0, 0, 0, 6, 8, 6, 10]",-1255.0,0.5,0
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-101.0,"[2, 3, 1, 3, 0, 0, 1, 2, 0, 0, 0, 0]",-452.01,0.5,Miss
3,4,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",-10.01,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",-121.01,0.5,0
4,5,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 2]",-141.0,0.5,0
5,6,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-110.0,"[0, 1, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0]",-230.0,0.5,Miss
6,7,0,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",-111.01,"[0, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 1]",-140.01,0.5,0
7,8,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",-121.0,0.5,1
8,9,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",-121.0,0.5,1
9,10,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-110.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-211.0,0.5,0
10,11,0,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-121.01,"[1, 1, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0]",-231.0,0.5,0
11,12,0,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-121.01,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,0.5,0
12,13,0,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-121.01,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,0.5,1
13,14,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,"[2, 0, 2, 2, 0, 0, 1, 2, 0, 1, 0, 1]",-352.01,0.5,Miss
14,15,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[1, 1, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0]",-131.01999999999998,0.5,Miss
15,16,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-101.0,"[0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0]",-20.04,0.5,Miss
16,17,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-110.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-211.0,0.5,0
17,18,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,"[4, 0, 4, 4, 0, 0, 0, 2, 0, 0, 0, 0]",-464.0,0.5,0
18,19,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-121.01,0.5,1
19,20,0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",-121.0,"[0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0]",-220.03,0.5,0
20,21,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-110.0,"[1, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0]",-113.0,0.5,0
