,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-110.11,"[2, 1, 2, 3, 0, 0, 2, 0, 6, 6, 6, 10]",-1084.07,0.5,Miss
1,2,0,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-130.01,"[3, 0, 3, 4, 0, 0, 0, 2, 6, 8, 6, 0]",-1293.26,0.5,Miss
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-100.01,"[4, 3, 1, 5, 0, 0, 5, 0, 6, 0, 6, 0]",-579.0899999999999,0.5,0
3,4,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",-1.1,"[0, 0, 0, 0, 0, 0, 2, 0, 2, 3, 0, 1]",-312.02,0.5,0
4,5,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-110.1,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1]",-221.01,0.5,Miss
5,6,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-100.1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 0, 1]",-710.01,0.5,Miss
6,7,0,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-111.01,"[1, 1, 0, 1, 0, 0, 1, 0, 6, 3, 0, 0]",-402.07,0.5,0
7,8,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 3]",-230.01,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 10]",-401.01,0.5,0
8,9,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 3]",-230.01,"[0, 0, 0, 1, 0, 0, 0, 0, 2, 2, 0, 2]",-320.02,0.5,0
9,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2]",-120.01,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-210.01,0.5,Miss
10,11,0,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 3]",-230.02,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",-210.11,0.5,1
11,12,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-110.11,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-130.02,0.5,0
12,13,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-110.1,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",-111.1,0.5,0
13,14,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-110.11,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-130.02,0.5,0
14,15,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-110.1,"[1, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0]",-102.21000000000001,0.5,1
15,16,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-100.01,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 1, 0, 0]",-300.2,0.5,0
16,17,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-100.1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-210.01,0.5,0
17,18,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-110.11,"[4, 0, 4, 4, 0, 0, 0, 2, 0, 0, 0, 0]",-444.2,0.5,0
18,19,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-110.11,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-102.11,0.5,1
19,20,0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",-201.1,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-110.11,0.5,Miss
20,21,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-100.1,"[1, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0]",-201.01999999999998,0.5,0
