,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",-120.1,"[2, 2, 1, 3, 0, 0, 4, 2, 0, 4, 6, 10]",-1436.2,0.5,Miss
1,2,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2]",-220.1,"[0, 0, 0, 0, 2, 0, 0, 2, 6, 8, 6, 10]",-1306.6,0.5,0
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-20.0,"[4, 1, 2, 5, 0, 0, 1, 0, 1, 0, 0, 2]",-560.5,0.5,0
3,4,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 2]",-240.1,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 3, 1, 1]",-151.1,0.5,Miss
4,5,0,"[0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0]",-40.1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3]",-320.1,0.5,0
5,6,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 5, 0, 2]",-260.1,"[1, 0, 0, 1, 0, 1, 0, 2, 1, 2, 0, 1]",-160.2,0.5,1
6,7,0,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1]",-130.1,"[0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 1]",-140.1,0.5,0
7,8,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1]",-130.0,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]",-30.2,0.5,1
8,9,0,"[1, 0, 0, 1, 0, 0, 0, 2, 2, 6, 0, 1]",-190.3,"[1, 0, 0, 1, 0, 0, 0, 2, 2, 6, 2, 0]",-92.3,0.5,1
9,10,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",-130.0,0.5,0
10,11,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0, 1]",-220.2,0.5,Miss
11,12,0,"[1, 0, 0, 3, 0, 0, 1, 2, 4, 2, 0, 0]",-80.5,"[1, 0, 0, 3, 0, 0, 1, 2, 2, 2, 2, 0]",-82.30000000000001,0.5,0
12,13,0,"[3, 0, 0, 5, 1, 0, 0, 2, 3, 3, 2, 1]",-302.6,"[1, 0, 0, 3, 1, 0, 0, 2, 4, 6, 1, 1]",-311.5,0.5,0
13,14,0,"[0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 1, 0]",-51.3,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 2, 0]",-52.2,0.5,0
14,15,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-20.0,"[7, 0, 0, 7, 0, 0, 0, 0, 1, 2, 0, 1]",-190.8,0.5,0
15,16,0,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1]",-230.0,"[0, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0]",-140.2,0.5,1
16,17,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-20.1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-110.1,0.5,0
17,18,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 1]",-132.1,"[1, 0, 0, 2, 1, 0, 0, 2, 3, 4, 1, 0]",-181.4,0.5,0
18,19,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 0, 2, 0, 0, 0, 2, 3, 5, 1, 0]",-91.3,0.5,1
19,20,0,"[0, 0, 0, 1, 0, 0, 0, 1, 4, 6, 0, 0]",-80.4,"[0, 0, 0, 2, 0, 0, 0, 2, 4, 4, 0, 0]",-80.4,0.5,Draw
20,21,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 0, 1, 0, 0, 0, 2, 1, 2, 1, 0]",-51.1,0.5,Miss
21,22,0,"[1, 0, 0, 2, 0, 0, 0, 1, 3, 1, 0, 0]",-40.400000000000006,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 1]",-130.2,0.5,0
22,23,0,"[0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0]",-40.2,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-120.1,0.5,0
23,24,0,"[3, 0, 0, 4, 0, 0, 0, 1, 2, 2, 0, 0]",-70.5,"[0, 0, 0, 2, 0, 0, 0, 2, 3, 5, 1, 0]",-91.3,0.5,0
24,25,0,"[3, 0, 0, 4, 0, 0, 0, 1, 2, 2, 0, 0]",-70.5,"[1, 0, 0, 3, 0, 0, 0, 2, 3, 4, 0, 0]",-90.4,0.5,0
25,26,0,"[1, 0, 0, 2, 0, 0, 1, 2, 3, 4, 0, 0]",-90.4,"[1, 1, 0, 2, 0, 0, 1, 2, 3, 3, 0, 0]",-180.4,0.5,0
26,27,0,"[0, 0, 1, 1, 0, 0, 1, 1, 2, 1, 0, 0]",-140.2,"[2, 0, 3, 3, 0, 0, 1, 2, 0, 0, 0, 0]",-360.2,0.5,0
27,28,0,"[0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0]",-40.2,"[1, 1, 1, 1, 0, 0, 0, 1, 2, 2, 0, 0]",-240.29999999999998,0.5,0
28,29,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",-30.200000000000003,0.5,1
29,30,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-220.1,0.5,0
30,31,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,"[1, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0]",-140.1,0.5,1
31,32,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-30.1,"[0, 0, 0, 1, 1, 0, 0, 2, 2, 1, 1, 0]",-141.2,0.5,0
32,33,0,"[0, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0]",-140.2,"[1, 0, 0, 1, 0, 0, 1, 1, 4, 2, 0, 0]",-50.5,0.5,1
33,34,0,"[1, 0, 1, 3, 0, 0, 0, 2, 4, 6, 1, 0]",-211.5,"[1, 0, 1, 2, 1, 0, 0, 2, 4, 6, 1, 0]",-301.5,0.5,0
34,35,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 0, 0, 0, 0, 0, 2, 4, 3, 1, 0]",-51.4,0.5,1
35,36,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 0]",-40.1,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",-30.200000000000003,0.5,1
36,37,0,"[1, 0, 2, 2, 0, 0, 0, 2, 2, 2, 0, 0]",-260.29999999999995,"[1, 0, 1, 3, 0, 1, 0, 1, 2, 3, 1, 0]",-181.29999999999998,0.5,1
37,38,0,"[2, 0, 0, 4, 0, 0, 0, 1, 1, 1, 0, 0]",-60.300000000000004,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,0.5,0
38,39,0,"[5, 0, 0, 7, 0, 1, 1, 1, 3, 1, 1, 0]",-111.8,"[3, 1, 0, 4, 0, 0, 1, 1, 6, 4, 0, 0]",-200.9,0.5,0
39,40,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-20.0,"[0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0]",-40.0,0.5,0
40,41,0,"[1, 0, 0, 2, 0, 0, 0, 1, 3, 1, 0, 0]",-40.400000000000006,"[0, 0, 0, 2, 0, 1, 0, 1, 1, 4, 1, 0]",-81.1,0.5,0
41,42,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-30.1,"[0, 0, 0, 2, 0, 0, 0, 2, 6, 1, 0, 0]",-50.6,0.5,0
42,43,0,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-130.1,"[0, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0]",-140.2,0.5,0
43,44,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-10.1,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,0.5,Miss
44,45,0,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]",-30.2,"[2, 0, 1, 3, 0, 0, 0, 1, 0, 2, 0, 0]",-160.2,0.5,0
45,46,0,"[3, 0, 0, 4, 0, 0, 0, 1, 2, 1, 1, 0]",-61.5,"[3, 0, 0, 3, 0, 0, 0, 0, 1, 2, 2, 0]",-52.400000000000006,0.5,1
46,47,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-20.200000000000003,"[0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0]",-30.1,0.5,0
47,48,0,"[1, 0, 0, 1, 0, 0, 0, 1, 2, 2, 1, 0]",-41.3,"[0, 0, 0, 1, 0, 0, 0, 2, 1, 2, 1, 0]",-51.1,0.5,0
48,49,0,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]",-30.200000000000003,"[1, 0, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0]",-31.200000000000003,0.5,Draw
49,50,0,"[1, 0, 0, 1, 0, 0, 1, 1, 2, 1, 0, 0]",-40.3,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-130.1,0.5,0
50,51,0,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",-30.200000000000003,"[2, 0, 0, 2, 0, 1, 1, 0, 4, 4, 1, 0]",-81.6,0.5,0
51,52,0,"[1, 0, 0, 2, 0, 0, 0, 2, 2, 3, 0, 0]",-70.30000000000001,"[3, 0, 0, 4, 0, 0, 0, 1, 2, 3, 0, 0]",-80.5,0.5,0
52,53,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-30.1,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",-30.200000000000003,0.5,Draw
53,54,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-20.200000000000003,"[0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0]",-30.2,0.5,0
54,55,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-20.200000000000003,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,0.5,0
55,56,0,"[3, 0, 0, 4, 0, 0, 0, 0, 2, 1, 0, 0]",-50.5,"[2, 0, 0, 3, 0, 0, 0, 0, 2, 2, 1, 0]",-51.4,0.5,0
56,57,0,"[6, 0, 0, 7, 0, 0, 0, 0, 2, 1, 0, 0]",-80.8,"[3, 0, 0, 6, 0, 0, 0, 0, 4, 1, 0, 0]",-70.69999999999999,0.5,1
57,58,0,"[1, 0, 0, 3, 0, 0, 0, 0, 3, 1, 0, 0]",-40.400000000000006,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",-30.1,0.5,1
58,59,0,"[1, 0, 0, 1, 0, 0, 0, 2, 3, 4, 1, 0]",-71.4,"[0, 0, 0, 1, 0, 0, 0, 2, 4, 5, 1, 0]",-81.4,0.5,0
59,60,0,"[0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0]",-30.2,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",-30.200000000000003,0.5,Draw
60,61,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-20.200000000000003,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",-30.1,0.5,0
61,62,0,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-20.1,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",-20.2,0.5,Draw
62,63,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-20.200000000000003,"[0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0]",-30.1,0.5,0
63,64,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0]",-31.200000000000003,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",-130.1,0.5,0
64,65,0,"[2, 0, 0, 3, 0, 0, 0, 0, 1, 1, 2, 0]",-42.3,"[2, 0, 0, 3, 0, 0, 0, 0, 3, 1, 1, 0]",-41.5,0.5,Miss
65,66,0,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-20.1,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0]",-21.2,0.5,0
66,67,0,"[1, 0, 1, 4, 0, 0, 0, 2, 1, 1, 0, 0]",-170.2,"[3, 0, 0, 5, 0, 1, 0, 2, 1, 1, 1, 0]",-91.39999999999999,0.5,Miss
67,68,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-20.200000000000003,"[0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0]",-30.1,0.5,Miss
