,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-0.11,"[2, 2, 1, 3, 0, 0, 4, 0, 6, 4, 6, 10]",-351.11,10,0
1,2,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-0.11,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0]",-0.12000000000000001,10,Draw
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-0.11,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0]",-0.12000000000000001,10,Draw
3,4,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-0.11,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0]",-0.12000000000000001,10,Draw
4,5,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-0.11,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0]",-0.12000000000000001,10,Draw
5,6,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",-0.02,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]",-0.03,10,Draw
6,7,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",-10.02,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-0.11,10,1
7,8,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-0.11,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",-100.11,10,0
8,9,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-10.11,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",-11.11,10,Draw
9,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-10.11,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",-11.11,10,Draw
10,11,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-10.11,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",-11.11,10,0
11,12,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-10.11,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2]",-20.11,10,0
12,13,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-10.11,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-0.12000000000000001,10,Miss
13,14,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-10.11,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2]",-20.11,10,0
14,15,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-10.11,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2]",-20.11,10,0
15,16,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-10.21,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",-10.02,10,Draw
16,17,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-10.21,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",-10.02,10,1
17,18,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",-10.02,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2]",-20.02,10,Miss
18,19,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",-10.12,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-10.21,10,Draw
19,20,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",-10.12,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1]",-10.03,10,Draw
20,21,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",-10.12,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-20.11,10,0
21,22,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",-10.12,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 2]",-20.03,10,0
22,23,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",-10.12,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2]",-20.21,10,0
23,24,0,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 2]",-20.03,"[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 1]",-10.04,10,1
24,25,0,"[0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 1]",-10.13,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2]",-20.12,10,Miss
25,26,0,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2]",-20.12,"[0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 1]",-10.13,10,1
26,27,0,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1]",-10.22,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 1]",-10.13,10,Draw
27,28,0,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1]",-10.22,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 1]",-10.13,10,Draw
