,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-2.3400000000000003,"[10, 0, 15, 1, 1, 0, 8, 8, 8, 4, 4, 4]",-749.88,10,0
1,2,0,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-2.3400000000000003,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-23.23,10,0
2,3,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-112.33,"[1, 6, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-23.259999999999998,10,1
3,4,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-112.33,"[1, 4, 2, 0, 0, 1, 3, 3, 1, 0, 1, 0]",-34.45,10,Miss
4,5,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-112.33,"[2, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2]",-222.32,10,0
5,6,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-112.33,"[2, 6, 0, 0, 1, 0, 8, 0, 0, 2, 0, 0]",-211.06,10,0
6,7,0,"[2, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2]",-222.32,"[2, 6, 0, 0, 0, 1, 4, 8, 0, 2, 0, 0]",-206.96,10,1
7,8,0,"[1, 7, 0, 0, 0, 1, 3, 8, 0, 1, 0, 0]",-104.97,"[1, 7, 0, 1, 0, 0, 8, 8, 0, 1, 0, 0]",-209.87,10,0
8,9,0,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-2.3400000000000003,"[0, 8, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0]",-100.88,10,0
9,10,0,"[1, 4, 2, 0, 0, 1, 3, 3, 1, 0, 1, 0]",-34.45,"[2, 2, 0, 0, 0, 1, 8, 2, 0, 2, 0, 2]",-230.32,10,0
10,11,0,"[2, 4, 0, 0, 0, 1, 3, 2, 1, 2, 0, 0]",-205.35,"[2, 2, 0, 0, 0, 1, 2, 0, 0, 0, 2, 2]",-44.120000000000005,10,1
11,12,0,"[3, 3, 0, 0, 0, 1, 2, 2, 1, 0, 3, 1]",-45.34,"[2, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2]",-222.32,10,0
12,13,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-112.33,"[1, 3, 3, 0, 0, 1, 8, 2, 2, 0, 1, 0]",-49.35000000000001,10,1
13,14,0,"[1, 5, 19, 0, 0, 1, 5, 4, 4, 0, 1, 0]",-206.59,"[1, 5, 18, 0, 0, 1, 8, 4, 5, 0, 1, 0]",-199.60000000000002,10,1
14,15,0,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-2.3400000000000003,"[0, 4, 0, 0, 1, 0, 8, 0, 8, 0, 0, 0]",-9.12,10,Miss
15,16,0,"[1, 4, 20, 0, 1, 0, 5, 4, 4, 0, 1, 0]",-217.48,"[1, 5, 21, 0, 1, 0, 8, 4, 3, 0, 1, 0]",-230.48000000000002,10,0
16,17,0,"[1, 3, 3, 0, 1, 1, 2, 0, 4, 0, 1, 0]",-44.17,"[1, 3, 3, 0, 0, 1, 2, 2, 8, 0, 1, 0]",-43.410000000000004,10,1
17,18,0,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-23.23,"[1, 2, 21, 0, 0, 1, 5, 4, 8, 0, 1, 0]",-226.60000000000002,10,0
