,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 4, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0]",-261,"[10, 0, 15, 1, 0, 1, 8, 8, 8, 4, 4, 4]",-1998,5,Miss
1,2,0,"[7, 0, 5, 1, 0, 0, 2, 2, 2, 0, 4, 5]",-982,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-243,5,1
2,3,0,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-243,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-244,5,0
3,4,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-244,"[1, 4, 2, 0, 0, 1, 3, 3, 1, 0, 1, 0]",-466,5,0
4,5,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-244,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-343,5,0
5,6,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-244,"[2, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2]",-245,5,Draw
6,7,0,"[2, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2]",-245,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-343,5,0
7,8,0,"[4, 2, 0, 0, 0, 1, 1, 2, 1, 4, 0, 1]",-574,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-343,5,1
8,9,0,"[2, 6, 0, 1, 0, 0, 2, 8, 0, 2, 0, 0]",-498,"[3, 2, 0, 0, 0, 1, 1, 1, 0, 1, 1, 3]",-445,5,1
9,10,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-244,"[2, 2, 0, 0, 0, 1, 2, 0, 0, 0, 2, 2]",-443,5,0
10,11,0,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-243,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-244,5,0
11,12,0,"[2, 6, 0, 1, 0, 0, 2, 8, 0, 2, 0, 0]",-498,"[2, 6, 0, 0, 0, 1, 4, 8, 0, 2, 0, 0]",-689,5,0
12,13,0,"[1, 7, 0, 1, 0, 0, 1, 8, 0, 1, 0, 0]",-298,"[1, 7, 0, 0, 0, 1, 3, 8, 0, 1, 0, 0]",-489,5,0
13,14,0,"[0, 8, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0]",-98,"[0, 6, 0, 1, 0, 0, 0, 5, 1, 0, 0, 0]",-85,5,1
14,15,0,"[2, 4, 0, 1, 0, 0, 0, 3, 1, 0, 2, 2]",-285,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",-272,5,1
15,16,0,"[3, 3, 0, 1, 0, 0, 0, 2, 1, 0, 3, 1]",-383,"[3, 5, 0, 1, 0, 0, 0, 5, 0, 0, 3, 1]",-396,5,0
16,17,0,"[1, 3, 0, 1, 0, 0, 1, 2, 2, 1, 0, 1]",-273,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",-262,5,1
17,18,0,"[2, 0, 6, 1, 1, 1, 1, 0, 1, 1, 1, 1]",-349,"[4, 2, 0, 1, 0, 0, 0, 1, 1, 0, 4, 2]",-483,5,0
18,19,0,"[5, 1, 3, 1, 1, 0, 0, 0, 1, 3, 2, 0]",-584,"[5, 1, 2, 1, 1, 0, 0, 0, 1, 2, 3, 0]",-583,5,1
19,20,0,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 5, 3, 0]",-891,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 4, 4, 0]",-891,5,Draw
20,21,0,"[8, 0, 0, 0, 1, 0, 0, 0, 0, 8, 0, 2]",-883,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 4, 4, 1]",-892,5,0
21,22,0,"[5, 1, 0, 0, 1, 0, 0, 0, 1, 5, 0, 2]",-573,"[2, 2, 0, 0, 1, 0, 0, 0, 2, 2, 0, 2]",-263,5,1
22,23,0,"[5, 1, 0, 0, 1, 0, 0, 0, 1, 5, 0, 2]",-573,"[4, 2, 0, 0, 1, 0, 1, 0, 1, 4, 0, 1]",-572,5,1
23,24,0,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",-262,"[2, 2, 0, 0, 1, 0, 0, 0, 2, 2, 0, 2]",-263,5,0
24,25,0,"[5, 3, 0, 0, 1, 0, 3, 0, 0, 5, 0, 1]",-882,"[4, 3, 3, 0, 1, 0, 3, 0, 2, 4, 0, 1]",-795,5,1
25,26,0,"[2, 2, 6, 0, 1, 0, 2, 0, 2, 2, 0, 1]",-468,"[2, 3, 3, 0, 1, 0, 2, 0, 3, 2, 0, 1]",-485,5,Miss
26,27,0,"[0, 1, 11, 0, 1, 0, 2, 1, 4, 0, 0, 0]",-263,"[1, 1, 10, 0, 1, 1, 2, 0, 3, 1, 0, 0]",-362,5,0
27,28,0,"[0, 3, 15, 1, 1, 0, 1, 1, 6, 0, 0, 0]",-217,"[0, 3, 14, 1, 1, 0, 2, 1, 4, 0, 0, 0]",-296,5,0
28,29,0,"[0, 3, 14, 0, 1, 0, 3, 3, 3, 0, 0, 0]",-378,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",-262,5,1
29,30,0,"[0, 2, 22, 1, 1, 0, 3, 1, 6, 0, 0, 0]",-414,"[0, 2, 25, 1, 1, 0, 3, 1, 5, 0, 0, 0]",-407,5,1
30,31,0,"[0, 4, 6, 0, 1, 0, 3, 1, 3, 0, 0, 0]",-378,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",-262,5,Miss
31,32,0,"[0, 3, 11, 0, 1, 0, 4, 1, 4, 0, 0, 0]",-483,"[0, 3, 11, 0, 1, 0, 5, 1, 2, 0, 0, 0]",-563,5,0
32,33,0,"[0, 4, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0]",-261,"[0, 6, 0, 0, 1, 0, 5, 0, 1, 0, 0, 0]",-571,5,0
33,34,0,"[0, 3, 6, 1, 1, 0, 1, 0, 3, 0, 0, 0]",-177,"[0, 3, 6, 0, 1, 1, 2, 0, 3, 0, 0, 0]",-268,5,0
34,35,0,"[0, 3, 8, 1, 1, 0, 2, 1, 5, 0, 0, 0]",-300,"[0, 2, 16, 1, 1, 0, 2, 1, 6, 0, 0, 0]",-308,5,Miss
35,36,0,"[0, 3, 8, 0, 1, 0, 2, 1, 2, 0, 0, 0]",-260,"[0, 4, 6, 0, 1, 0, 2, 1, 3, 0, 0, 0]",-278,5,0
36,37,0,"[0, 4, 8, 1, 1, 0, 0, 0, 4, 0, 0, 0]",-99,"[0, 2, 11, 1, 1, 0, 1, 0, 3, 0, 0, 0]",-172,5,Miss
