,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 4, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0]",-340.02,"[6, 2, 15, 1, 0, 1, 8, 8, 8, 2, 2, 4]",-1010.55,10,0
1,2,0,"[3, 2, 0, 0, 1, 0, 1, 1, 2, 1, 1, 3]",-336.12,"[3, 4, 2, 0, 1, 0, 2, 2, 4, 0, 2, 2]",-565.24,10,0
2,3,0,"[1, 3, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1]",-342.1,"[1, 3, 0, 0, 1, 0, 2, 1, 2, 0, 1, 1]",-342.12,10,Draw
3,4,0,"[2, 2, 0, 0, 0, 1, 2, 0, 0, 0, 2, 2]",-24.32,"[2, 2, 0, 1, 1, 0, 0, 0, 2, 0, 2, 2]",-424.2,10,Miss
4,5,0,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",-332.02,"[2, 4, 0, 0, 1, 0, 3, 0, 1, 2, 0, 1]",-243.05,10,1
5,6,0,"[2, 2, 0, 0, 1, 0, 0, 0, 2, 2, 0, 2]",-324.02,"[4, 2, 0, 0, 1, 0, 1, 0, 1, 4, 0, 2]",-226.04999999999998,10,1
6,7,0,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",-332.02,"[1, 3, 0, 1, 0, 0, 1, 2, 2, 1, 0, 1]",-352.02,10,0
7,8,0,"[5, 1, 1, 0, 1, 1, 1, 0, 0, 2, 1, 4]",-119.24,"[5, 1, 0, 0, 0, 1, 1, 0, 0, 1, 2, 5]",-20.32,10,Miss
8,9,0,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-42.220000000000006,"[1, 3, 0, 1, 1, 0, 0, 1, 2, 0, 1, 1]",-442.1,10,Miss
9,10,0,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",-332.02,"[4, 2, 0, 0, 1, 0, 1, 0, 1, 4, 0, 1]",-225.04999999999998,10,Miss
10,11,0,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",-332.02,"[3, 7, 0, 0, 1, 0, 2, 0, 1, 3, 0, 1]",-274.04999999999995,10,Miss
11,12,0,"[0, 4, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0]",-340.02,"[1, 3, 0, 0, 1, 0, 1, 0, 8, 1, 0, 1]",-932.02,10,0
12,13,0,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",-324.2,"[2, 2, 2, 1, 1, 0, 0, 0, 2, 1, 1, 1]",-423.13,10,0
13,14,0,"[0, 4, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0]",-340.02,"[0, 4, 0, 1, 1, 1, 0, 0, 4, 0, 0, 0]",-640.1,10,0
14,15,0,"[4, 2, 0, 1, 0, 0, 0, 1, 1, 0, 4, 1]",-235.4,"[4, 2, 0, 0, 1, 0, 2, 1, 3, 0, 4, 1]",-435.41999999999996,10,0
15,16,0,"[0, 4, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0]",-340.02,"[0, 4, 0, 1, 0, 0, 0, 2, 2, 0, 0, 0]",-360.0,10,0
16,17,0,"[3, 3, 0, 1, 0, 0, 0, 2, 1, 0, 3, 1]",-254.3,"[3, 3, 0, 0, 1, 0, 2, 2, 3, 0, 3, 1]",-454.32,10,Miss
17,18,0,"[1, 5, 0, 0, 1, 0, 4, 0, 1, 1, 0, 1]",-252.04999999999998,"[1, 3, 0, 0, 1, 0, 8, 0, 2, 1, 0, 1]",-332.09000000000003,10,Miss
18,19,0,"[5, 1, 0, 1, 0, 0, 0, 0, 1, 0, 5, 2]",-217.5,"[5, 1, 0, 0, 1, 1, 8, 0, 1, 0, 5, 2]",-217.68,10,Draw
19,20,0,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",-324.2,"[2, 2, 0, 0, 1, 1, 8, 0, 0, 0, 2, 2]",-124.38,10,1
20,21,0,"[8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 2]",-110.8,"[8, 0, 0, 0, 1, 1, 8, 0, 2, 0, 6, 4]",-312.78000000000003,10,0
21,22,0,"[4, 5, 4, 0, 1, 0, 5, 2, 3, 0, 2, 2]",-476.29,"[4, 4, 4, 0, 1, 0, 2, 2, 4, 0, 2, 2]",-566.26,10,0
22,23,0,"[0, 8, 0, 0, 1, 0, 8, 0, 0, 0, 0, 0]",-180.08,"[0, 6, 0, 0, 1, 0, 5, 0, 1, 0, 0, 0]",-260.05,10,0
23,24,0,"[6, 2, 4, 1, 1, 0, 0, 2, 0, 2, 4, 4]",-250.46,"[6, 2, 4, 1, 0, 1, 0, 2, 0, 2, 4, 4]",-150.56,10,1
24,25,0,"[5, 3, 0, 0, 1, 0, 3, 0, 0, 5, 0, 2]",-137.08,"[7, 1, 5, 1, 1, 0, 1, 0, 0, 2, 5, 2]",-219.58,10,0
25,26,0,"[2, 4, 0, 0, 1, 0, 3, 0, 1, 2, 0, 2]",-244.05,"[3, 3, 0, 0, 1, 0, 8, 0, 1, 3, 0, 2]",-235.11,10,1
26,27,0,"[3, 3, 0, 0, 1, 0, 2, 0, 1, 3, 0, 1]",-234.05,"[4, 2, 0, 0, 1, 0, 8, 0, 1, 4, 0, 1]",-225.11999999999998,10,1
27,28,0,"[3, 3, 0, 0, 1, 0, 2, 0, 1, 3, 0, 1]",-234.05,"[4, 2, 0, 0, 1, 0, 8, 0, 1, 4, 0, 1]",-225.11999999999998,10,1
