,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[2, 4, 18, 0, 0, 1, 7, 6, 3, 1, 1, 0]",-667.87,"[2, 4, 19, 1, 1, 0, 8, 8, 8, 1, 1, 0]",-963.08,10,Miss
1,2,0,"[1, 3, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1]",-143.2,"[5, 5, 16, 0, 1, 0, 8, 8, 8, 3, 2, 2]",-987.8800000000001,10,0
2,3,0,"[6, 1, 12, 1, 0, 0, 5, 6, 4, 1, 4, 3]",-662.65,"[6, 1, 12, 1, 0, 0, 6, 6, 3, 1, 4, 3]",-661.66,10,Draw
3,4,0,"[7, 0, 16, 1, 0, 0, 6, 6, 5, 3, 3, 3]",-647.06,"[8, 0, 16, 1, 0, 0, 5, 5, 5, 3, 3, 4]",-548.15,10,1
4,5,0,"[5, 1, 1, 1, 0, 0, 2, 1, 2, 1, 2, 4]",-138.62,"[2, 3, 3, 1, 0, 0, 0, 2, 3, 0, 2, 1]",-255.5,10,0
5,6,0,"[5, 1, 2, 1, 1, 0, 2, 0, 3, 3, 1, 4]",-131.72,"[5, 1, 2, 0, 1, 1, 0, 0, 1, 3, 1, 4]",-139.6,10,0
6,7,0,"[6, 3, 7, 1, 1, 0, 6, 1, 4, 2, 3, 1]",-272.96000000000004,"[6, 3, 8, 1, 1, 0, 8, 1, 4, 2, 2, 2]",-263.18,10,1
7,8,0,"[5, 1, 14, 1, 0, 0, 4, 3, 4, 1, 2, 5]",-342.04,"[6, 1, 14, 1, 0, 0, 8, 3, 3, 1, 3, 5]",-352.08,10,0
8,9,0,"[8, 0, 12, 1, 1, 0, 4, 1, 5, 4, 2, 3]",-238.64000000000001,"[8, 0, 12, 1, 1, 0, 5, 1, 4, 4, 2, 3]",-237.65,10,1
9,10,0,"[4, 2, 0, 0, 1, 0, 1, 0, 1, 4, 0, 1]",-129.10999999999999,"[6, 2, 2, 1, 1, 0, 2, 0, 2, 3, 1, 2]",-141.51999999999998,10,0
10,11,0,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",-44.300000000000004,"[2, 2, 0, 0, 0, 1, 2, 0, 0, 0, 2, 2]",-52.220000000000006,10,0
11,12,0,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 5, 3, 2]",-143.29999999999998,"[8, 0, 0, 1, 0, 0, 2, 2, 8, 5, 3, 2]",-251.32,10,0
12,13,0,"[5, 2, 14, 1, 1, 0, 4, 2, 6, 2, 3, 0]",-364.54,"[7, 3, 13, 1, 1, 0, 4, 3, 5, 3, 4, 0]",-486.44,10,0
13,14,0,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 5, 3, 3]",-143.4,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 4, 4, 3]",-152.4,10,0
14,15,0,"[2, 2, 0, 0, 1, 0, 0, 0, 2, 2, 0, 2]",-126.2,"[5, 1, 0, 1, 1, 0, 0, 1, 2, 2, 1, 5]",-229.6,10,0
15,16,0,"[6, 2, 0, 1, 1, 1, 0, 0, 2, 5, 0, 1]",-143.2,"[6, 2, 0, 1, 1, 1, 0, 0, 2, 4, 0, 2]",-142.29999999999998,10,1
16,17,0,"[4, 2, 0, 1, 0, 0, 0, 1, 1, 0, 4, 1]",-165.2,"[4, 2, 2, 1, 1, 1, 0, 1, 1, 1, 2, 3]",-256.6,10,0
17,18,0,"[5, 1, 0, 1, 0, 0, 0, 0, 1, 0, 5, 2]",-66.3,"[4, 2, 0, 1, 0, 0, 0, 1, 1, 0, 4, 1]",-165.2,10,0
