,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,-1.0,1.0,1.0,1.0,-1.0,0.75,0.75,1.0,1.0,1.0,1.0,Difference
2,1.5,0.5,1.5,1.5,1.5,0.5,1.375,1.375,1.5,1.5,1.5,1.5,Final
3,1.5,0.5,1.5,1.5,1.5,0.5,1.375,1.375,1.5,1.5,1.5,1.5,Starting
4,0.1,-0.25,0.0,0.0,1.0,-1.0,-0.125,-0.25,0.25,0.25,0.0,0.25,Difference
5,1.55,0.375,1.5,1.5,2.0,0.001,1.3125,1.25,1.625,1.625,1.5,1.625,Final
6,1.55,0.375,1.5,1.5,2.0,0.001,1.3125,1.25,1.625,1.625,1.5,1.625,Starting
7,0.0,0.25,0.0,0.0,0.0,0.0,-0.125,0.125,0.0,0.25,-0.25,0.0,Difference
8,1.55,0.5,1.5,1.5,2.0,0.001,1.25,1.3125,1.625,1.75,1.375,1.625,Final
9,1.55,0.5,1.5,1.5,2.0,0.001,1.25,1.3125,1.625,1.75,1.375,1.625,Starting
10,0.0,-0.25,-0.2,0.0,0.0,0.0,-0.125,-0.125,-0.125,0.25,-0.25,0.25,Difference
11,1.55,0.375,1.4,1.5,2.0,0.001,1.1875,1.25,1.5625,1.875,1.25,1.75,Final
12,1.55,0.375,1.4,1.5,2.0,0.001,1.1875,1.25,1.5625,1.875,1.25,1.75,Starting
13,0.0,-0.25,-0.2,0.0,0.0,0.0,-0.125,-0.125,-0.125,0.25,-0.25,0.25,Difference
14,1.55,0.25,1.2999999999999998,1.5,2.0,0.001,1.125,1.1875,1.5,2.0,1.125,1.875,Final
15,1.55,0.25,1.2999999999999998,1.5,2.0,0.001,1.125,1.1875,1.5,2.0,1.125,1.875,Starting
16,0.0,-0.25,-0.2,0.0,0.0,0.0,-0.125,-0.125,-0.125,0.25,-0.25,0.25,Difference
17,1.55,0.125,1.1999999999999997,1.5,2.0,0.001,1.0625,1.125,1.4375,2.125,1.0,2.0,Final
18,1.55,0.125,1.1999999999999997,1.5,2.0,0.001,1.0625,1.125,1.4375,2.125,1.0,2.0,Starting
19,,,,,,,,,,,,,Difference
20,1.55,0.125,1.1999999999999997,1.5,2.0,0.001,1.0625,1.125,1.4375,2.125,1.0,2.0,Final
21,1.55,0.125,1.1999999999999997,1.5,2.0,0.001,1.0625,1.125,1.4375,2.125,1.0,2.0,Starting
